,작성일,작성자,제목,내용
1308,2015-10-30,boni_boni_,,이 일 한다고 내가 큰 부귀영화를 누리는 것도 아닌데 아픈 사람을 위해서 일을 하겠다는데 새로운 법안은 국민의 건강에는 관심도 없이 그저 빈자리에 인력 채워 넣기에 급급하다. 서울대 간호대학장님의 삭발식이 거행될 때 눈물을 멈출 수 없었다. 정말 대한민국 간호사 근무 환경이 열악하다는 걸 뼈저리게 느꼈다. 일본이 간호사 1명당 5명의 환자를 간호하는동안 우리는 12명에서 20명까지 간호를 하지만 개정안을 막지 못했을 때 정작 우리에게 돌아오게 되는 건 2년제에서 공부하고 졸업한 사람들과 동등한 대우를 받고 근무를 하게 되는 것이다. 그리고 내 가족과 친구들이 행여 병원에 입원하게 된다면 그들의 안전도 보장할 수 없게 된다는 것이 가장 치명적인 우리의 미래가 될 것이다. 몇개월이면 끝날 줄 알았는데 이 투쟁이 벌써 3년째라는 선생님의 말씀을 듣고 쉽게 끝나지 않을 것 같다는 느낌이 들었다. 될 때까지 외치고 반대해야겠다. 널스타그램 간호법제정 2년제신설반대 집회 서울역 삭발식
1307,2015-12-01,daytrip.jpg,,베스트셀러작가 오츠 슈이치 최신작 1000명의 죽음을 함께한 호스피스가 말하는 간호법 소중한 사람과 마지막 시간을 함께 보낼 수 있는 당신은 행복한 사람입니다 경향미디어 소중한사람이죽은후후회한21가지 호스피스 북스타그램 책스타그램 오예스북 북스북스 내일 업뎃
1306,2015-12-09,hjeyz,,64 간호법제정
1305,2016-03-11,jungkimsoree,,눈썹이 간호법
1304,2016-04-13,jiyun8248,,아니 공휴일에 이게뭐람.... . . 명지대 서울 명지대학교 인문캠퍼스 구급간호법 중간고사 선거날 쉬는날 빨간날 학교 대학교 오바 시험 수업 보강 대학생 일상 소통 맞팔 팔로우
1303,2016-06-22,alice_ryu__,,먹방계의신예 나를말리지마라 조갯살카레야채볶음밥 아프기전모습 . . 얼른얼른 나아라 너가자는동안 엄만휴식시간 폭풍업뎃 요래요래잘먹는데.. 아파도못먹는건아니지만 한입먹고 아야 한입먹고 아야 맴찢 . 일상 일상으로돌아가자 데일리베이비 시간은너로인해흘러간단다 얼른낫고놀러가자아가 육아 육아소통 아픈아이간호법 아들바보엄마가찍었어
1301,2016-10-14,banna.s2,,오늘도 4시간의 프리노팅을 겨우 마쳤다 이제 발표준비중.. 우리 조 성인 발표 준비하느라 영어논문 20개는 뒤진듯 낼 발표 넘긴장된다 왜냐 바로 대한간호협회장이셨던 간호법을 제정하신 국회의원이셨던 갓 신교수님의 성인간호학 저자직강 이기 때문 허허 대본 100번 읽고 자야지
1300,2016-12-11,rnjob_yoonju,,최신 보건의료 이슈 송용숙 대전광역시 간호사회 회장 64년만에 의료법이 개정되고 2016년 11월 3일 행복한 간호사 행복한 국민 이라는 주제로 간호정책 선포식이 개최되었습니다. 대한간호협회는 환자가 안전하고 간호사가 행복한 사회 라는 비전을 가지고 있습니다. 간호정책 선포식 5대 중점 과제 1. 간호 간병 통합 서비스 제도 성공적 정착 이는 국가가 간호사 수급 불균형 문제를 인식하고 시행한 제도라는 점에 의의가 있습니다. 구체적인 과제로는 3교대 간호사 처우 개선 간호 수가 인상 간호사 표준근로지침 마련 의료서비스 질 향상이 있습니다. 2. 환자 안전을 위한 숙련간호사 확보 및 이직 방지 병원 직장 보육시설 설치 확대 간호복지 공제회 설립 신규 및 경력 간호사 교육 인프라 확충 전문간호인력 양성을 위한 전문간호사제도 활성화를 통해 환자에게 보다 전문적인 간호 서비스를 제공할 수 있도록 해야 합니다. 3. 지역주민 건강 증진을 위한 방문간호분야 활성화 4. 의료 취약지 주민을 위한 간호사 인력 확보 공중 보건 장학 특례법을 통한 의료취약지 간호사 배치와 전문인력 확보를 위해 공중보건 간호사 제도를 도입해야 합니다. 5. 초고령사회를 대비한 간호법 제도 발전 국민 건강 증진을 위해 간호단독법을 제정해야 합니다. 대한간호협회는 환자 행복을 위하여 간호사부터 행복할 수 있도록 일하고 있습니다 간호인력취업교육센터 간호대학생 홍보단 간호정책선포식 간호이슈 간호대학생 홍보단 대한간호협회 보건복지부 간호사 이직방지교육 대전성모병원 간호학과 대학생 팔로우 좋아요 맞팔 선팔
365,2017-01-04,96.11.133,,64년만에 간호법이 새롭게 개정 되었습니다. 개정 전 간호사는 상병자나 해산부의 요양을 위한 간호 또는 진료 보조 및 대통령령으로 정하는 보건 활동을 임무로한다. 하는 간단한 업무였지만 새로 개정된 법안에서는 좀더 구체적인 업무 내용을 볼수 있었습니다. 사진 참고 간호사와 간호조무사의 업무도 정립 되었습니다. 이번 법안에서는 간호조무사 를 간호사의 대체 인력이 아닌 간호 업무를 보조하는 인력 이며 간호사는 간호 조무사를 지도할수 있는 지도권이 있음에 명확히 규정해 보였습니다 간호법 법률 간호법률 개정 간호법개정 간호 간호사 간호사의업무 의료법 의료법개정 업무규정 신경림의원 국회
1299,2017-01-07,r.a316,,간호사 간호법 간호법개정 의료법 의료법개정 간호사업무규정 간호 간호사의업무 의료법의 간호사 업무규정은 1951년 국민의료법 제정 이후 64년 만에 처음 개정된 것이다. 2017년 1월 1일부터 시행됐다. 간호사와 간호조무사 간 업무도 정립됐다. 간호조무사는 간호사 대체인력이 아닌 간호사의 업무를 보조하는 인력이며 간호사에게 간호조무사 업무에 대한 지도권이 있음이 법률에 명확하게 규정된 것이다.
49,2017-03-15,i_am_kini,,안녕하세요 대학생활동가 1기 김기인입니다. 여러분 간호법 100만 서명운동에 대해서 알고 계신가요 대한간호협회는 2013년 7월부터 간호법 100만 서명운동을 진행해 왔습니다. 우리나라 인구고령화와 치료 중심에서 예방 중심으로 보건의료 패러다임이 변화되면서 간호사의 활동영역도 크게 확대되어 왔습니다. 그러나 현재의 의료법은 이를 모두 담아낼 수 없는게 현실입니다. 그 대표적인 예가 간호사 인력 부족문제라 할 수 있습니다. 이로 인해 우리나라 간호사는 미국 일본 캐나다 호주 등 선진외국에비해 3 5배이상 많은 환자들을 간호하는 열악한 근무환경에 노출되어 있습니다. 이는 간호사의 이직률과 퇴직률을 높이며 결국 환자 안전에 심각한 위협이 됩니다. 간호법 제정은 국민건강증진과 환자안전 확보 더불어 더 체계적이고 단단한 간호조직을 형성하여 현재 대한민국에게 다가온 초고령사회와 질병구조의 변화에 부응하는 최상의 길입니다. 서명운동에 참여해주시는 것은 대한민국이 안전해지는 지름길을 만드는 것입니다. 감사합니다 링크 . . . 대한간호협회 대학생활동가 간호법 서명운동 간호법100만서명운동 간호학과 학생간호사 간호사 널스타그램
50,2017-03-15,__oo00oo1__,,안녕하세요 대학생활동가입니다. 여러분 간호법 100만 서명운동에 대해서 알고 계신가요 대한간호협회는 2013년 7월부터 간호법 100만 서명운동을 진행해 왔습니다. 우리나라 인구고령화와 치료 중심에서 예방 중심으로 보건의료 패러다임이 변화되면서 간호사의 활동영역도 크게 확대되어 왔습니다. 그러나 현재의 의료법은 이를 모두 담아낼 수 없는게 현실입니다. 그 대표적인 예가 간호사 인력 부족문제라 할 수 있습니다. 이로 인해 우리나라 간호사는 미국 일본 캐나다 호주 등 선진외국에비해 3 5배이상 많은 환자들을 간호하는 열악한 근무환경에 노출되어 있습니다. 이는 간호사의 이직률과 퇴직률을 높이며 결국 환자 안전에 심각한 위협이 됩니다. 간호법 제정은 국민건강증진과 환자안전 확보 더불어 더 체계적이고 단단한 간호조직을 형성하여 현재 대한민국에게 다가온 초고령사회와 질병구조의 변화에 부응하는 최상의 길입니다. 서명운동에 참여해주시는 것은 대한민국이 안전해지는 지름길을 만드는 것입니다. 감사합니다 대한간호협회 간호사 간호학과 간호법 서명운동 홍보 대한간호협회아고라홈페이지 간호법제정 대학생활동가1기 국민건강증진
364,2017-03-15,su220,,대한간호협회 간호법 제정 을 위한 100만 서명운동 간호사의 업무환경개선이 이루어지면 환자 즉 국민을 위한 간호의 질도 향상됩니다 행복한 간호사 건강한 국민을 위한 간호법 제정을 위한 서명에 참여해주세요 특히 이라면 꼭 참여링크 . . . 대학생활동가 대한간호협회 100만명서명운동 널스타그램 널스 간호사 학생간호사 간호대학생 간호학과 나이팅게일 4
160,2017-03-15,sooooo.94,,참여링크 . . . 안녕하세요 대학생활동가입니다. 여러분 간호법 100만 서명운동에 대해서 알고 계신가요 궁금 대한간호협회는 2013년 7월부터 간호법 100만 서명운동을 진행해 왔습니다. 우리나라 인구고령화와 치료 중심에서 예방 중심으로 보건의료 패러다임이 변화되면서 간호사의 활동영역도 크게 확대되어 왔습니다. 그러나 현재의 의료법은 이를 모두 담아낼 수 없는게 현실입니다. 그 대표적인 예가 간호사 인력 부족문제라 할 수 있습니다. 이로 인해 우리나라 간호사는 미국 일본 캐나다 호주 등 선진외국에비해 3 5배이상 많은 환자들을 간호하는 열악한 근무환경에 노출되어 있습니다. 이는 간호사의 이직률과 퇴직률을 높이며 결국 환자 안전에 심각한 위협이 됩니다. 간호법 제정은 국민건강증진과 환자안전 확보 더불어 더 체계적이고 단단한 간호조직을 형성하여 현재 대한민국에게 다가온 초고령사회와 질병구조의 변화에 부응하는 최상의 길입니다. 서명운동에 참여해주시는 것은 대한민국이 안전해지는 지름길을 만드는 것입니다. 감사합니다
161,2017-03-15,sn_eunhye,,안녕하세요 대학생활동가입니다. 여러분 간호법 100만 서명운동에 대해서 알고 계신가요 대한간호협회는 2013년 7월부터 간호법 100만 서명운동을 진행해 왔습니다. 우리나라 인구고령화와 치료 중심에서 예방 중심으로 보건의료 패러다임이 변화되면서 간호사의 활동영역도 크게 확대되어 왔습니다. 그러나 현재의 의료법은 이를 모두 담아낼 수 없는게 현실입니다. 그 대표적인 예가 간호사 인력 부족문제라 할 수 있습니다. 이로 인해 우리나라 간호사는 미국 일본 캐나다 호주 등 선진외국에비해 3 5배이상 많은 환자들을 간호하는 열악한 근무환경에 노출되어 있습니다. 이는 간호사의 이직률과 퇴직률을 높이며 결국 환자 안전에 심각한 위협이 됩니다. 간호법 제정은 국민건강증진과 환자안전 확보 더불어 더 체계적이고 단단한 간호조직을 형성하여 현재 대한민국에게 다가온 초고령사회와 질병구조의 변화에 부응하는 최상의 길입니다. 서명운동에 참여해주시는 것은 대한민국이 안전해지는 지름길을 만드는 것입니다. 감사합니다 대한간호협회 대학생활동가 간호정치클린캠페인 간호사 간호학과
1298,2017-03-15,choi7hyun_j,,간호사권리 간호법제정 대한간호협회 간호사미래 대학생활동가
100,2017-03-16,1997.505,,. . . 안녕하세요 대학생활동가 김은주입니다. 여러분 간호법 100만 서명운동에 대해서 알고 계신가요 대한간호협회는 2013년 7월부터 간호법 100만 서명운동을 진행해 왔습니다. 우리나라 인구고령화와 치료 중심에서 예방 중심으로 보건의료 패러다임이 변화되면서 간호사의 활동영역도 크게 확대되어 왔습니다. 그러나 현재의 의료법은 이를 모두 담아낼 수 없는게 현실입니다. 그 대표적인 예가 간호사 인력 부족문제라 할 수 있습니다. 이로 인해 우리나라 간호사는 미국 일본 캐나다 호주 등 선진외국에비해 3 5배이상 많은 환자들을 간호하는 열악한 근무환경에 노출되어 있습니다. 이는 간호사의 이직률과 퇴직률을 높이며 결국 환자 안전에 심각한 위협이 됩니다. 간호법 제정은 국민건강증진과 환자안전 확보 더불어 더 체계적이고 단단한 간호조직을 형성하여 현재 대한민국에게 다가온 초고령사회와 질병구조의 변화에 부응하는 최상의 길입니다. 서명운동에 참여해주시는 것은 대한민국이 안전해지는 지름길을 만드는 것입니다. 감사합니다 대한간호협회 간호사 간호학과 대학생활동가 간호법 서명운동
159,2017-03-22,valerie_mina,,대한간호협회 아고라 간호법 제정을 위한 100만 대국민 서명운동 . 9 질높은 간호를 위해 많은 관심부탁드립니다 간호법 간호법제정 대국민서명운동 백만
1297,2017-03-24,hyenhee2,,간호법제정 서명운동
99,2017-03-25,forest0414,,대한간호협회소식11 안녕하세요 대학생 활동가 충북지역 널싱포유 김민아입니다 대한간호협회 간호법 제정 을 위한 100만 서명운동 행복한 간호사 행복한 국민을 위한 간호법 제정에 많은 관심과 참여 부탁드립니다 참여링크 . . . 간호법 제정 왜 중요할까요 1. 간호 간병통합서비스 제도의 성공적 정착 2. 환자안전을 위한 숙련 간호사 확보 및 이직 방지 3. 지역주민의 건강증진을 위한 방문간호 분야 활성화 4. 의료취약지 주민을 위한 간호사 인력확보 5. 초고령사회를 대비한 간호 법 제도 발전 더 자세한 내용은 . 8 7 대학생활동가1기 대한간호협회 간호법100만서명운동 간호법제정 함께 동참해요 간호대학생 서포터즈
98,2017-03-26,l_ye_18,,간호법 제정은 건강한 대한민국을 만드는 길입니다. 간호법이 제정되면 환자는 간호사로부터 안전한 간호를 제공받게 됩니다. 환자는 지역 간 차별없는 질 높은 간호서비스를 누리게 됩니다. 국민 모두가 건강하고 안전한 대한민국이 만들어집니다. 간호법 제정을 위한 100만 서명운동에 함께해 주세요 동참하기 대한간호협회 아고라 . . . . 대한간호협회 대학생활동가 간호학과 간호법제정
158,2017-03-29,limstagran,,안녕하세요. 대한간호협회 대학생활동가입니다. 여러분 간호법 100만 서명운동에 대해서 알고 계신가요 대한간호협회는 2013년 7월부터 간호법 100만 서명운동을 진행해 왔습니다. 우리나라 인구고령화와 치료 중심에서 예방 중심으로 보건의료 패러다임이 변화되면서 간호사의 활동영역도 크게 확대되어 왔습니다. 그러나 현재의 의료법은 이를 모두 담아낼 수 없는게 현실입니다. 그 대표적인 예가 간호사 인력 부족문제라 할 수 있습니다. 이로 인해 우리나라 간호사는 미국 일본 캐나다 호주 등 선진외국에비해 3 5배이상 많은 환자들을 간호하는 열악한 근무환경에 노출되어 있습니다. 이는 간호사의 이직률과 퇴직률을 높이며 결국 환자 안전에 심각한 위협이 됩니다. 간호법 제정은 국민건강증진과 환자안전 확보 더불어 더 체계적이고 단단한 간호조직을 형성하여 현재 대한민국에게 다가온 초고령사회와 질병구조의 변화에 부응하는 최상의 길입니다. 서명운동에 참여해주시는 것은 대한민국이 안전해지는 지름길을 만드는 것입니다. 감사합니다 대한간호협회 아고라 온라인 서명 주소 . . . 간호사 간호학도 간호학과 간호학생 널스타그램 간호학 간호 대학생활동가 간호사그램
157,2017-03-30,kna1_cnn,,안녕하세요 대학생활동가 김지은입니다. 여러분 간호법 100만 서명운동에 대해서 알고 계신가요 대한간호협회는 2013년 7월부터 간호법 100만 서명운동을 진행해 왔습니다. 우리나라 인구고령화와 치료 중심에서 예방 중심으로 보건의료 패러다임이 변화되면서 간호사의 활동영역도 크게 확대되어 왔습니다. 그러나 현재의 의료법은 이를 모두 담아낼 수 없는게 현실입니다. 그 대표적인 예가 간호사 인력 부족문제라 할 수 있습니다. 이로 인해 우리나라 간호사는 미국 일본 캐나다 호주 등 선진외국에비해 3 5배이상 많은 환자들을 간호하는 열악한 근무환경에 노출되어 있습니다. 이는 간호사의 이직률과 퇴직률을 높이며 결국 환자 안전에 심각한 위협이 됩니다. 간호법 제정은 국민건강증진과 환자안전 확보 더불어 더 체계적이고 단단한 간호조직을 형성하여 현재 대한민국에게 다가온 초고령사회와 질병구조의 변화에 부응하는 최상의 길입니다. 서명운동에 참여해주시는 것은 대한민국이 안전해지는 지름길을 만드는 것입니다. 감사합니다 링크는 . . . 입니다 많은 참여 부탁드립니다 간호사 간호학생 간호학과
1296,2017-05-07,sinbi_mj,,13개월 쌍둥이 아빠의 간호법 잘하고 있네 그려 13개월아기 이란성쌍둥이 남매둥이 아빠의스킬 혼자돌보기 아픈아기들 열감기랑싸우는중 얼른낫자 사랑한다아기들
46,2017-05-13,zzi._.ssue,,안녕하세요 대한간호협회 대학생활동가 1기 정지수입니다 간호의 질을 향상시키기 위해 간호법 제정이 꼭 필요하다는 거 알고 계신가요 간호법이 제정될 수 있도록 간호법 백만 서명운동에 참여하는 방법이 있는데요 국민 건강증진과 환자 안전 확보 더불어 체계적이고 단단한 간호조직을 형성하여 현재 대한민국에 다가온 초고령사회와 질병구조의 변화에 부응하는 최상의 길이라고 생각합니다 백만서명에 참여하실 분은 아래 링크로 들어가주세요 간호법 제정을 위한 100만 대국민 서명운동 . . . 대한간호협회 대한간호협회아고라 간호학과 간호사 간호법 간호법제정 간호법백만서명운동 대학생활동가
43,2017-05-15,esrun_junsoo0404,,안녕하십니까 대학생활동가 1기 배준수입니다. 간호법을 알고 계신가요 대한간호협회에서는 간호법 제정을 위한 100만 대국민 서명운동을 실시하고 있습니다. 대한간호협회에서는 대국민 간호서비스에 있어 지난 40년간 국민건강을 외면했던 의료법 체계에서 벗어나 간호단독법을 제정하여 합리적인 간호전달체계 및 국민건강과 안전을 최우선으로 하여 간호인력을 개편해 나가도록 노력하고 있습니다. 이에 간호법 제정으로 1. 초고령사회와 만성질환으로 인한 질병구조 변화에 부응하는 합리적 간호전달체계 법제화 2. 의료기관과 지역사회에 산재된 간호영역의 통합 법제화 3. 보건의료환경 변화에 부응하는 간호사 업무 체계 법제화 4. 전문간호사 업무 법제화 및 조산원 조산사 역할 및 업무 확대 법제화 5. 간호보조인력에 대한 간호사의 지도 감독권 및 위임 불가 업무 법제화 6. 간호정책 수립 및 간호사와 간호보조인력 수급 조정을 위한 정부 내 간호정책위원회 의결기구 법제화 7. 환자안전과 간호사 노동강도 개선을 위한 간호사 법정인력기준 상향 법제화 8. 간호사와 간호보조인력의 교육과정 및 교육기관 인증평가 법제화 가 이루어 질것이며 간호사의 노동가치가 건강보험수가에 정당하게 반영됨으로써 실질적인 간호서비스의 질이 향상될 것입니다. 또한 대한간호협회는 간호조무사 를 간호실무사 로 시 도지사자격 을 보건복지부 장관 면허 로 변경하는 의료법 제80조 개정안과 2018년부터 대학에서 간호조무사 양성을 허용한 간호조무사 및 의료유사업자에 관한 규칙 을 반드시 전면 철폐할 것입니다. 이제 의료법이 아닌 간호법으로써 간호사만의 위상을 확립하고 간호의 질을 올려나가야 할 것입니다. 여기에는 여러분의 많은 참여가필요합니다. . . . 링크에 접속해 서명운동에 동참해주시면 감사하겠습니다 대학생활동가 간호법 대한간호협회
363,2017-05-18,angssora,,. . . 안전하고 질 높은 간호서비스를 위해 서명합시다. 대한간호협회 간호사 간호법 간호법제정 서명운동
1295,2017-05-29,daily_in_entole,,안녕하세요 . 조상호 평화가 가득한 한주되길 기도합나다 플로렌스 나이팅게일 간호사 라면 누구나 존경하는 인물입니다 크림전쟁 당시 열악한 의료 환경속에서 수많은 병사와 국민들이 사망할때 38명의 간호팀을 꾸려서 비위생적인 의료환경을 개선하고 수많은 환자들의 생명을 구해냈습니다. 그 후로 병원 개혁안을 제시 나이팅게일 간호사 양성소 를 설립해 각국에 모범이 되었습니다 나이팅게일의 저서 병원에 관한 노트 간호노트 는 세계 각국의 언어로 번역되어 간호법이나 간호사 양성에 기초가 되었다고 합니다 별명은 광명의 천사 입니다
1293,2017-06-04,zzi._.ssue,,대한간호협회 대학생활동가 2017 광화문광장 간호학과 간호 간호법제정 금연교육 절주교육 성교육
1292,2017-06-04,min_da_jung,,대학생활동가 2017 유니브 엑스포 서울 시작부터 마지막까지 힘들었지만 좋은 경험이었습니다 모두들 감사해요 대학생활동가 대한간호협회 간호 간호학과 간호대학생 중앙지원단장 서울지역단장 간호법제정화이팅 수료증 유니브엑스포 유니브엑스포서울 2017유니브엑스포
156,2017-06-04,min_da_jung,,페북이지만 인스타에 간호법 제정되길 바랍니다 대학생활동가 유니브엑스포 유니브엑스포2017 유니브엑스포서울 간호법제정화이팅 간호법 간호 간호대학생 중앙지원단장 서울지역단장
362,2017-06-05,sooooo.94,,170604 2탄 이번에는 내사진자랑 대학생활동가 페이스북이벤트 꽃길만걷자 너무 더워서 시간이지날수록 초췌 해져가는 셀카 하루 참여하고 수료증 들고 신난사진 2017유니브엑스포서울 내년에도 새내기 해야지 했는데 맞구나 내년에는 신규간호사 꽃길만걸을꺼야 인스타에도 간호법100만서명운동 간호법 제정하자 간호사 간호학과 간호대생 그리고 전국민 화이팅
1291,2017-06-06,ye_eun_chong,,간호법제정 과제중 . . . .
1282,2017-07-15,pre_rn_kiin,,대한간호협회 대구지역 8차회의 건강한 대한민국 간호사가 함께합니다 라는 주제로 대학생활동가 대구지역 활동가들이 8 5일 14시에 김광석길에서 오프라인 캠페인 및 간호법 서명운동을 진행할예정입니다. 많이 와서 관광도하고 참여해주고가세요 대한간호협회 대학생활동가 간호학과 학생간호사
1281,2017-07-31,_hami_i,,신생인상견증상급호리법 인과상견질병 인과의학 소아과 신생아증상 육아 신생아간호법 미국소아과학회
1279,2017-09-09,hyewon3637,,유니브엑스포 부산 에서 대한간호협회대학생활동가1기 와 대한간호협회대학생활동가2기 가 함께 진행한 부스 간호사 가 행복해야 환자 가 행복합니다 저희 대학생활동가 부스에서 혈당측정 혈압측정 해드리고 있고 여러 간호법제정 서명운동과 퀴즈를 진행하고 있습니다 다양한 상품들이 있으니 9월10일 부산시민공원 으로 많이들 놀러오쉐여 내손 경례하는거아님눈이너무부셔서 햇빛가리개 임
1280,2017-09-09,sooovely9_13,,부산앙뇽 . . . 일상 간호학과 간호대학생 여행 광주 부산 부산 유니브엑스포 부산시민공원 간호법제정화이팅 체험활동 디제잉체험 헤어스타일링 웨이브 성공적
1278,2017-09-11,yoodang_eee,,2017 유니브 엑스포 부산 2017.9.9 9.10 이틀간 진행된 대한간호협회 대학생활동가 부스 간호법 제정을 위한 서명운동 혈당 혈압 체크해드리고 수술가운 입기 체험 진행까지 부스 오프닝하고 마감하기까지 애쓰신 모든 1 2기 활동가 분들 수고하셨습니당 최고 둘째날엔 잠깐 나도 혈당체크 맡아볼수있었는데 기본간호학 실습때 배운 보람이 있었다 역시 실습때 열심히 해놔야 이런활동할때 잘 할수있겠구나 느꼈다 . . . 대학생활동가 1기 2기 부산시민공원 화이팅 유니브 유니브엑스포 부산 2017 좋아요 대한간호협회
