,작성일,작성자,내용
3504,2019-05-21,molab_suda,내삶을바꾼2년 정부출범2년 지난 2년 동안 취준생 박군에게는 무슨 일이 생겼을까요 청년정책과 취업준비를 한 곳에서 볼 수 있는 온라인 청년센터 로 내 일의 꿈을 이룬 박군. 박군의 스토리를 지금 확인해보세요 바로가기 . 2 8 고용부 노동부 고용노동부 . 1130718577097502720 1
3503,2019-05-21,molab_suda,내삶을바꾼2년 정부출범2년 지난 2년 동안 취준생 박군에게는 무슨 일이 생겼을까요 청년정책과 취업준비를 한 곳에서 볼 수 있는 온라인 청년센터 로 내 일의 꿈을 이룬 박군. 박군의 스토리를 지금 확인해보세요 바로가기 . 2 8 고용부 노동부 고용노동부 . 1130722302499348480 1
3502,2019-05-21,hyechulson,충북도 제2회 청년정책 디자인 경진대회 개최 . . . 398601 . 1130777955934720001 1
3501,2019-05-21,ct258,뉴스에이 모바일 사이트 충청북도 제2회 청년정책 디자인 경진대회 개최 . . . . 218565
3500,2019-05-22,daeyeol6364,공주시 청년정책에 반영하기 위한 정제되지 않은 청년들의 의견 직접 듣는다. . . . . 31728
3498,2019-05-23,speakupandand,진짜 지방에는 쓸모있는 청년정책이 없어
3497,2019-05-23,pan00771,성남시 청년정책 발전을 위한 포럼 개최 . . 19 43538
3496,2019-05-23,mediathenext,청지기 인터뷰 신규 간호사 1년 더 이상 일하면 위험해지겠다 고 느꼈다 사실 죽었다 살아난 사람은 그 가오가 있잖아요. 어차피 죽을 뻔한 인생이었는데 해보자.. 미디어내일엔 청지기인터뷰 청년정책 김연수 간호사 . . . . 2534
3495,2019-05-23,hellopolicy,오늘의 꿀보이스로 듣는 정책뉴스는 청년들에게 피가 되고 살이 되는 황금매직 청년전용정책 모음 유투브 풀버전 시청은 요기 . 2 2 꿀뉴스 청년전월세보증금대출 청년정책 청년 청년구직활동지원금 청년내일채움공제 꿀보이스 청년전용버팀목전세자금 . 1131515117512941569 1
3494,2019-05-24,news0499987,시사스포츠 성남시 청년정책 발전을 위한 포럼 개최
3493,2019-05-24,cream_senbei,아 청년정책도 심지어 서울이더좋음 사람들이서울가는 이유가있는것...
3492,2019-05-25,kho6488,성남시 청년정책 발전을 위한 포럼 개최 . . . 18816
3491,2019-05-26,woogos3280,청년정책 쓰레기요 제 눈엔 에너지인걸요 미래유망직종 폐자원에너지연구원 출처 청년정책사.. 블로그 . . . 221056402366
3490,2019-05-26,airon_douron,이슈두민병두 청년정책 노오력은 이제 그만 . 51 님이 공유
3482,2019-05-27,cfghutexc,청년정책 꿀뉴스 청년전용저금리대출제도 국정홍보에 실트 좀 씁니다 트루엔딩 . 1132970825320001536 1
315,2019-05-27,echungnam,충남도가 지역 내에서 청년들이 느끼는 고립감을 해소하고 청년이 선호하는 청년정책을 발굴하기 위해 제1기 충남청년네트워크를 구성했습니다. 당사자 중심의 정책 수립을 위해 충남청년네트워크 위원들이 연구 활동하며 제출한 결과물은 2020년 청년정책 에 우선 반영되도록 검토할 것입니다.
3483,2019-05-27,cfghutexc,청년정책 꿀뉴스 공유주방 국정홍보에 실트 좀 씁니다 트루엔딩 . 1132969927676010496 1
3486,2019-05-27,cfghutexc,청년정책 꿀뉴스 청년내일채움공제 국정홍보에 실트 좀 씁니다 트루엔딩 . 1132960906327994368 1
3485,2019-05-27,cfghutexc,청년정책 꿀뉴스 청년구직활동지원금 국정홍보에 실트 좀 씁니다 트루엔딩 . 1132967534238490624 1
3487,2019-05-27,cfghutexc,청년정책 꿀뉴스 실패박람회 국정홍보에 실트 좀 씁니다 트루엔딩 . 1132959406872653824 1
3489,2019-05-27,mediathenext,청지기 지수 2019년 5월 24일 청년의 미래를 밝히기 위한 정치적 노력 청년비서관 미디어내일엔 청지기지수 청년정책 . . . 2542
3484,2019-05-27,cfghutexc,청년정책 꿀뉴스 청년내일채움공제 국정홍보에 실트 좀 씁니다 트루엔딩 . 1132969133052551168 1
3488,2019-05-27,cfghutexc,청년정책 꿀뉴스 실패박람회 국정홍보에 실트 좀 씁시다 트루엔딩 . 1132958310716469248 1
3480,2019-05-28,z4CGtQWfZLVsLCM,이재명경기도지사 공통키워드 따라해봐봥 전국최초 대동세상 공정국가 억강부약 갓재명 행정천재 우유빛깔 제기차기 기본소득 지역화폐 청년정책 세월호기 수술실 이용수할머니 넘나많앜 . 4 1133154782988853249 1
3479,2019-05-28,bucheon_in,부천시 청년정책협의체 출범 50여명 위촉 청년정책 활성화 청년 공감도시 만들기 체감도 높은 정책 발굴 12월 성과 공유회 . 2 9 4 더부천
3478,2019-05-28,shsystem2012,냉소 분파 패배주의 교만... 오랜 독재시대를 살았던 젊은이들의 현상이지요 이제 시대가 변했으니 삶의 자세도 개혁하세요 20대중반으로 보이는군요 경기도로 와요 이재명의 청년정책 좋아요
3477,2019-05-28,Mia_in_Amaurot,어딜봐서 청년정책임 너무 웃기다
3481,2019-05-28,gunpocity,경기도 청년기본소득 2분기 신청은 6월 청년의 복지 향상과 사회적 기본권 보장을 위해 분기마다 지원 대상자는 생년월일 94. 4. 2. 95. 4. 1. 기간은 2019. 6. 1. 6. 30. 자세히 보기 . 2 문의 경기도 콜센터 120 청소년청년정책과 390 0790 . 1133268619058528256 1
314,2019-05-29,maroon72kr,지금 지방선거 당시 공약중 청년 정책은 거의 100프로 공약 이행하고 있지요.. 청년 정책 함께 공유하고 알립시다.. 일잘하는 이재명 화이팅 . 72 1133709288386359300 1
3475,2019-05-29,907MHz,경인방송 90.7 청년 미래 없어 이재명 경기지사 청년기본소득 락 페스티벌 서 청년정책 확대 약속 . . 251827
3474,2019-05-29,R6XJENurbpOfd9i,청년 미래 없어 이재명 경기지사 청년기본소득 락 페스티벌 서 청년정책 확대 약속 경인방송 . . 251827
3473,2019-05-29,silentrrrr,청년 미래 없어 이재명 경기지사 청년기본소득 락 페스티벌 서 청년정책 확대 약속 경인방송 . . 251827 이게왠쌩쑈냐
3476,2019-05-29,hellopolicy,정이 와 책이 가 알려주는 청년내일채움공제 6백만원 넣고 3년 만에 적금 3천만원을 탔다는 핫한 소식을 들은 우리 정이 부러우면 지지 말고 워크넷 청년공제 홈페이지 . . . 접쏘옥 청년내일채움공제 청년정책 정이책이 . 1133568644842233857 1
3472,2019-05-30,poeamnE5yALssHN,1 4 청년정책 불만있냐 닌 영원한문파가아닌 영원한 똥파리겠지 근데.. 니 꼬라지는 더 심하네
3471,2019-05-30,gyeongsangbukdo,경북청년정책 으로 뭉친 취벤쳐스 경북 팀 청년정책 을 위해 청년과 경북도 유관기관 등 정책수립 집행기관이 함께 힘을 모으기로 했어요. 앞으로도 청년이 행복한 경북을 위해 더욱 공감하고 소통 할게요 . 1134014429534740480 1
3470,2019-05-30,airon_douron,김경수 지사 청년 눈높이에서 바라보는 청년정책 필요 . . . 5506
54,2019-05-30,newbc416,김경수 지사 청년 눈높이에서 바라보는 청년정책 필요 청년정책 플랫폼 출범...김 지사 경남 청년 정책에 청년 감수성이 고려될 수 있도록 해달라 . . . 5506
53,2019-05-30,mild_badger124,김경수 지사 청년 눈높이에서 바라보는 청년정책 필요 . . . 5506 김 지사는 이날 오후 청년 정책의 실무를 논의하는 협의체인 청년정책플랫폼 을 구성해 첫 회의를 갖고 청년의 눈높이에서 바라보는 청년정책이 필요하다 고 강조했다.
3464,2019-05-31,tkadnjs79002,이재명표 청년기본소득 지원대상 확대..일시 전출자도 수혜 경기도 는 이재명 지사의 핵심 청년정책 인 청년기본소득 지원대상을 확대해 올해 2분기 지급신청을 6월 1일부터 30일까지 접수한다고 31일 밝혔다. . . . 20190531102005664 경기도지사 이재명
3469,2019-05-31,r7ukhUclagGgoGI,착한 청년정책 희망두배 청년통장 이 돌아왔다 . . 42
3463,2019-05-31,R6XJENurbpOfd9i,이재명 경기도지사 핵심 청년정책 청년기본소득 2분기 신청접수...6월1일 30일까지 진행 . . . . 313172
3462,2019-05-31,musashi178b,2100이하는 최저시급 미달이고 2400씩은 주지 보통 2100이면 세금다떼면 월 150이고 2400이면 세금떼면 월 180 요즘 청년정책도 많이생겨서 그래도.. 3년 일하면 천은 모을수있음..
3461,2019-05-31,petal_back,저도 대출이라곤 학자금대출 밖에 모르는 사람입니다 대출이란 말 자체가 무서워서 조사를 꽤 많이 했는데 이자율이 1.2 대까지 낮은 제도는 다른 청년 정책들 봐도 없더라구요. 도움이 되었다니 진심으로 기쁩니다 찬찬히 조사하시고 꼭 성공하세요 응원합니다
3460,2019-05-31,maroon72kr,6688 청년 정책에 대한 영상 올립니다. 하나는 지방 선거 당시 공약으로 만든 영상이고.. 다른 하나는 정책 시리즈 영상입니다. 우선 공약 영상 부터 나갑니다. 짜잔. . 72 1134474460935774208 1
3467,2019-05-31,R6XJENurbpOfd9i,민선7기 이재명 경기도지사 핵심 청년정책 청년기본소득 2분기 신청접수 . . . 411650
3468,2019-05-31,sisa2003,서대문구 다양한 청년정책 컬쳐벨리 신촌 기대 . . 7000 221550972267
3458,2019-06-02,ct258,뉴스에이 모바일 사이트 청년친화헌정대상 청년정책 소통분야 대상 . . . . 219982
3457,2019-06-02,dareto_tell,이재명은 청년정책 왜 하는거냐 지역상품권 풀려고 그건 아닐거야 그치 뭘 위해 니 대표정책인 기본소득 시행하는지 성과가 어떻게 나타났는지 4용지에 적어서 제출해라. 행복감이 충족되었다 그런거 말고. 눈에 보이는 실적 갖고와.
3456,2019-06-03,a459d9152875409,청년정책인 청년기본소득 2분기 신청접수 다음달 1일부터 30일까지 진행 . . . 58210
3454,2019-06-03,greenjeonnam,청년친화헌정대상 청년정책 소통분야 대상 전라남도는 사단법인 청년과미래 에서 선정한 2019 청년친화헌정대상 우수광역자치단체 로서 소통부문 대상에 선정되는 영예를 안았습니다. 자세하게 알아볼까요 자세하게 . 2 4
