,작성일,작성자,제목,내용
821,2022-07-11,UCG9aFJTZ-lMCHAiO1KJsirg,"'세 모녀 전세 사기' 3명 구속 기소…검찰 ""구속 수사 원칙"" [MBN 뉴스7]",앵커멘트 서울 일대 빌라 수백 채를 갖고 신혼부부와 청년 등 100여 명을 상대로 300억 원의 전세 사기를 친 세 모녀 와 분양업자들이 재판에 넘겨졌습니다. 검찰은 이런 전세 사기범에 대해 구속 수사를 원칙으로 하겠다며 엄정 대응하기로 했습니다. 정태웅 기자가 보도합니다. 기자 결혼 4년차를 맞은 김 모 씨 부부는 신혼생활을 보낸 서울 신림동의 전셋집에서 보증금 2억여 원을 그대로 날렸습니다. 인터뷰 김 모 씨 전세 사기 피해자 만기 6개월 정도 전부터 연락을 시도했는데 전화를 하면 전혀 받지를 않고 . 기사를 접하고 나서야 자신이 최근 불거진 세 모녀 전세 사기 사건 의 피해자란 사실을 알았습니다. 인터뷰 김 모 씨 전세 사기 피해자 하루하루가 정말 지옥 같고 밤에 잠도 못 이루고 제 아들 생각하면 너무 미안하고 . 검찰이 수백 억대의 전세 사기를 친 혐의로 세 모녀 중 모친과 분양대행업자 등 3명을 구속 기소하고 총 7명을 재판에 넘겼습니다. 이들은 신축 다세대주택의 건축주에게 지급할 구입가격에 자신들이 챙길 리베이트까지 더한 임대차보증금을 세입자들에게 받는 수법으로 수익을 남겨 갭투자 를 이어갔고 결국 주택가격보다 리베이트가 더해진 전세보증금이 비싸지는 이른바 깡통 전세 가 계속해서 발생할 수밖에 없었습니다. 이런 수법으로 보증금을 돌려받지 못한 피해자는 130명이 넘고 피해금액도 300억 원에 달합니다. 인터뷰 황병주 대검찰청 형사부장 계획적이고 적극적으로 피해자를 속인 범죄자 등에 대해서는 원칙적으로 구속 수사하겠습니다. 검찰은 현재 접수된 전세 사기 건이 전국에 총 8천여 건으로 규모도 1조 6천억 원에 달한다고 설명했습니다. 뉴스 정태웅입니다. . . 영상취재 김영진 기자 영상편집 김상진 전세사기 깡통전세 검찰칼빼 정태웅기자 유튜브 구독하기 . 6 유튜브 커뮤니티 . . ... 페이스북 . . 인스타그램 . .
814,2022-07-11,UCTHCOPwqNfZ0uiKOvFyhGwg,'세 모녀 전세사기' 알고보니 대행업자들이 판깔아 / 연합뉴스TV (YonhapnewsTV),세 모녀 전세사기 알고보니 대행업자들이 판깔아 뉴스리뷰 앵커 수백명의 세입자를 울린 이른바 세 모녀 전세 사기 사건.. 알고 보니 단독 범행이 아니었습니다. 검찰이 보완수사한 결과 배후에 분양 대행업자들이 있었습니다. 신선재 기자입니다. 기자 자기 돈 한푼 안 들이고 수도권의 빌라 수백 채를 사들인 뒤 세입자에게 전세보증금을 돌려주지 않은 이른바 세 모녀 전세 사기 사건. 앞서 경찰은 사기와 부동산실명법 위반 혐의로 세 모녀만 불구속해 넘겼는데 검찰 보완수사 결과 조직적 범행이 드러났습니다. 세 모녀가 빌라 분양대행업자들과 짜고 친 사실이 드러난 건데 갭투자자와 분양대행업자의 조직적 범행이 적발된 건 처음입니다. 지난 5월 모친 김 모 씨를 구속해 재판에 넘긴 검찰은 공범이 있다는 김 씨 진술을 확보했습니다. 이후 압수수색에서 업자들이 일종의 계약수수료인 리베이트를 나눠 가진 사실이 적힌 표 등 물증을 확보했습니다. 업자들이 매물을 골라오면 김 씨는 두 딸 명의로 빌라를 사들여 이른바 깡통 전세 계약을 맺었습니다. 매매가보다 분양가를 비싸게 책정해 차익을 업자들이 나눠 챙긴 겁니다. 피해자는 136명. 검찰 수사로 85명이 추가 확인됐습니다. 대부분 사회초년생 등 2030인 이들이 돌려받지 못한 보증금은 298억원에 이릅니다. 검찰은 분양대행업자 송 모 씨 등 2명을 구속 상태로 다른 2명은 불구속 상태로 재판에 넘겼습니다. 모친에게 명의를 빌려준 두 딸도 추가 기소했습니다. 검찰은 서민을 울리는 전세 사기는 원칙적으로 구속하고 조직적 범죄를 염두에 두고 엄정 수사하겠다고 밝혔습니다. 황병주 대검 형사부장 서민과 청년을 상대로 한 전세사기에 엄정하게 대응하도록 지시하였습니다 범인이 은닉한 재산을 추적해서 피해가 회복될 수 있도록 지원하겠습니다 경제난 속에 전세보증금 사기는 늘어나는 추세이고 대부분 3억원 이하로 서민이 피해자입니다. 검찰은 유사 사건이 많을 수 있다며 각별한 주의를 당부했습니다. 연합뉴스 신선재입니다. . . 세모녀 전세사기 분양대행업자 전세보증금 계약수수료 연합뉴스 기사문의 및 제보 카톡 라인 23 연합뉴스 유튜브 채널 구독 . 대한민국 뉴스의 시작 연합뉴스 . . .
815,2022-07-11,UChlgI3UHCOnwUGzWzbJ3H5w,"'전세 사기' 세 모녀, 분양업자와 공모...대검 ""구속 수사"" / YTN",앵커 이른바 갭투자 방식으로 수백억 원대 전세 사기 를 친 세 모녀와 분양대행업체 일당이 재판에 넘겨졌습니다. 피해자 대부분 청년과 서민층이었는데 앞으로 검찰이 이런 전세 사기에 대해 구속수사를 원칙으로 엄정 대응하기로 했습니다. 김다연 기자가 보도합니다. 기자 세 모녀 전세 사기 사건 은 전세보증금이 집값을 넘어서는 이른바 깡통전세 사례입니다. 어머니 김 모 씨는 서울시 일대에 빌라 수백 채를 사들여 실제 가격보다 부풀려 전세를 내놓은 뒤 보증금을 떼먹었는데 배경에는 분양대행업자와 조직적인 공모가 있었습니다. 보증금을 비싸게 받아 건축주에게 분양대금을 지급한 뒤 분양대행업자와 리베이트로 수억 원을 챙기는 방식으로 무자본 갭 투자 를 이어나간 겁니다. 하지만 정작 수중에는 돈이 부족하다 보니 보증금을 돌려줘야 할 때 반환할 수 없게 되는 악순환이 반복됐습니다. 공모 정황을 포착한 검찰은 김 씨를 재판에 넘긴 지 두 달도 안 돼 분양대행업체 관계자 4명과 명의를 빌려준 딸 두 명을 추가로 기소했습니다. 지금까지 확인된 피해액은 3백억 원 가까이 피해자는 136명으로 대부분 20 30대나 사회초년생 신혼부부였습니다. 이렇게 깡통 전세 같은 피해사례가 급증하자 검찰이 칼을 빼 들었습니다. 대검은 전국 검찰청에 수법이 계획적이거나 적극적일 때는 원칙적으로 구속 수사하고 수사나 공판과정에서 전세금 마련 경위나 전세금이 피해자 재산에서 차지하는 비중 등 구체적인 양형 사유를 수집하거나 제출하도록 주문했습니다. 또 선고 형량이 가벼우면 적극적으로 항소하고 사기범이 은닉한 재산을 추적해 피해 복구도 지원하라고 지시했습니다. 통계를 보면 지난 2019년부터 지난해 8월까지 접수된 전세보증금 미반환 사고는 8천백 30건 피해액은 1조 6천억 원 상당이었습니다. 이 가운데 보증금이 3억 원 이하인 경우는 89 에 이르는 것으로 나타났습니다. 그만큼 청년이나 서민층이 피해를 많이 본다는 얘기입니다. 황병주 대검찰청 형사부장 빌라 등을 대상으로 발생하고 있어 피해자가 주로 서민과 2030 청년인 경우가 많고 사실상 전 재산이나 다름없는 전세보증금과 삶의 터전인 주거지를 잃게 돼서 회복할 수 없을 정도의 피해를 보게 됩니다. 검찰은 사기를 예방하기 위해 계약 단계에서 시세뿐만 아니라 등기부 등본 건축물대장 납세증명서 같은 서류와 신분을 꼼꼼히 확인하라고 당부했습니다. 또 계약 이후에는 전입과 전 월세 신고를 한 뒤 보증 가입을 해야 한다고 강조했습니다. 김다연입니다. 김다연 0818 . . 당신의 제보가 뉴스가 됩니다 카카오톡 검색해 채널 추가 전화 02 398 8585 메일 . . 기사 원문 . . . 0103 202207... 제보 하기 . . . . 유튜브 채널 구독 . 5 무단 전재 및 재배포금지
823,2022-07-11,UCdyA-sS75Q2N46kLU831dpQ,업자도 낀 빌라 136채 전세사기…298억 등친 희대의 세모녀,영화테이프 구독하기 . 3 36 업자도 낀 빌라 136채 전세사기 298억 등친 희대의 세모녀 영화테이프 영화 테이프
818,2022-07-11,UCfWZnsdfiKvOyHDGfzMT3Cg,"[오은영 리포트 - 결혼 지옥] 전세사기를 당해 사라져 버린 돈...남편이 감춰왔던 속사정,MBC 220711 방송",. . . . ...
819,2022-07-11,UCkinYTS9IHqOEwR1Sze2JTw,'업자' 끼고 전세사기 친 세 모녀…먹튀한 돈 300억 육박 / SBS,빌라 수백 채를 사들여서 세를 놓은 뒤에 나중에 세입자들한테 임대 보증금을 돌려주지 않았던 이른바 세 모녀 사기 사건 수사 속보 전해드립니다. 검찰은 이들이 분양 대행업자들과 짜고 조직적으로 범죄를 저지른 걸로 보고 분양업체 사람들을 추가로 재판에 넘겼습니다. 안희재 기자가 취재했습니다. 원문 기사 더보기 . . . 1006818975 뉴스 8뉴스 세모녀사기사건 뉴스 채널 구독하기 . . . 뉴스 라이브 . . . . . . 뉴스 제보하기 홈페이지 . . . 애플리케이션 뉴스 앱 설치하고 제보 . . . 카카오톡 뉴스 와 친구 맺고 채팅 . . 페이스북 뉴스 메시지 전송 . . 8 이메일 8 . . 문자 6000 전화 02 2113 6000 홈페이지 . . . 페이스북 . . 8 트위터 . . 8 카카오톡 . . 인스타그램 . .
817,2022-07-11,UCG9aFJTZ-lMCHAiO1KJsirg,'세 모녀 전세 사기' 3명 구속 기소 [이슈픽],서울 일대 빌라 수백 채를 갖고 신혼부부와 청년 등 100여 명을 상대로 300억 원의 전세 사기를 친 세 모녀 와 분양업자들이 재판에 넘겨졌습니다. 검찰은 이런 전세 사기범에 대해 구속 수사를 원칙으로 하겠다며 엄정 대응하기로 했습니다. 세모녀 전세사기 전세 신혼부부 청년 사기 부동산 서울빌라 재판 전세사기범 세입자 갭투자 깡통전세 구독하기 . . 9 ... 구독하기 . . 84 ... 구독하기 . . ... 공식 홈페이지 . . .
820,2022-07-11,UComhAmtkBwTPF_PvwN8Gc6w,전세사기 3400억 '사상 최대'.. 엄정 대응 예고한 검찰,올 상반기 세입자가 집주인에게 돌려받지 못한 전세 보증금이 무려 3천400억원을 기록했습니다. 역대 최대치인데 검찰은 구속수사를 통해 엄정 대응하기로 했습니다. 뉴스중심입니다. 전세 보증금 사기 뉴스 채널 구독하기 . . ... 뉴스 기사 더보기 . . . 모바일 . . . 뉴스 제보하기 이메일 . . 전화 032 670 5555
813,2022-07-12,UC8NyzivDTzeDjO9E_68uG1Q,깍두기 인생 #shorts #다이어트 #전세사기,채널에 원본이 있습니다.
811,2022-07-13,UCZl4geJiXKIDDjYSUoPOktQ,서울 깡통전세 바로 여기! #깡통전세 #전세사기,설마 나는 아니겠지.....하다가 당합니다. 제 주변 사람들이야 제가 챙기면 되지만 다른 많은 피해자들은 어떻게 해야 하나 고민하다가 영상을 제작 했습니다. 이제 곧 부동산 대세 하락기가 옵니다. 이미 시작 됐다고 봐도 됩니다. 그럼 앞으로 깡통전세가 넘쳐날 겁니다. 이럴때 일수록 전세사기는 더 많이 일어 납니다. 오피스텔 원룸 빌라 아파트 등 다양한 모든 전세에서 일어나고 그 사기 방법도 정말 여러가지 입니다. 하나씩 하나씩 준비하면 여러분도 부동산 전문가가 되어있을 거에요 전세사기 깡통전세 오피스텔전세 깡통전세 전세사기 금천구 도봉구 중랑구 은평구 구로구 양천구
810,2022-07-13,UC57afMs8CRYBir28yejxWiQ,요즘 전세사기 이렇게 칩니다..전세사기 유형,항상 구독과 좋아요로 응원주시는 구독자분들 감사합니다. 세빛희 강의 보러 가기 . . 세빛희 첫 책 구입하러 가기 예스24 . 6 교보문고 . 6 알라딘 . 54 네이버블로그 . . 9168 네이버카페 . . 섭외 및 제안 문의 9168 . 부동산상담은 불가하니 양해바랍니다
809,2022-07-13,UCHskZeuzoYbW5hg7lofTL0A,"전세 사기 '청년' 노린다..  작년 8월까지 63%가 20, 30",상담문의 02 543 6669 재개발 재개발투자 뉴타운 투자 부동산투자 신축아파트 빌라투자 소액투자
808,2022-07-13,UC5HSw5OY2vfVFSihpiB-AVQ,"빌라 수백채 사들여 ‘깡통전세 사기’ 월세에 역전당한 전세… 종말시대 온다? 전세종말론ㅣ한국은행 금통위, 기준금리 인상...사상 첫 '빅스텝' [더룸 7/13]",01 25 늘어가는 깡통전세...발생 이유는 02 13 주택시장 곳곳에서 침체 시그널 장기화 접어드나 04 45 전세보증보험도 무용지물 필요한 법적 보완책은 08 29 깡통전세 사기 주의할 점은 09 53 월세에 역전당한 전세 종말시대 온다 10 45 사상 첫 기준금리 0.5 인상...배경은 12 15 한미 금리 역전에 불가피...경기침체 부작용은 14 06 미국 자이언트 스텝 단행 시 대안책은 14 58 물가 긴축 다시 코로나 하반기 경제 전망은 17 53 유류세 인하 실효성 논란...의견은 20 11 유류세 인하폭 확대 국회 논의 넘어 탄력 받나 후반전 경제는 박수갈채 출연 채이배 전 의원 박정호 명지대 특임교수 깡통전세 속타는 세입자 커져가는 깡통전세 왜 발생 깡통전세 속타는 세입자.. 전세보증보험도 무용지물 깡통전세 증가가 부동산 침체의 신호탄 전망은 깡통전세대란에 대한 대책은 월세에 역전당한 전세 종말시대 온다 전세종말론에 대한 의견은 첫 빅스텝 밟은 한은..고공행진 물가 잡힐까 물가가 더 급했다..사상 첫 빅스텝 배경은 3고 에 코로나 재확산까지 경제 위기감 고조..영향은 유류세 인하 실효성 논란.. 소비 안 줄어 정유업계만 이익 지적도 권성동 이준석 안철수 김건희 강신업 팬클럽 깡통전세 한국은행 빅스텝 더룸 박지훈 양지열 천하람 장현주 채이배 박정호 이미지 출처 뉴시스 홈페이지 . . 페이스북 . 블로그 . . 인스타그램 . . 티봉이 인스타그램 . . 0303 유튜브 커뮤니티 . . ...
807,2022-07-15,UCbVcA0cFsYE8sTHQdl8b9Ww,직접 1억을 사기 당하고 알게된 전세사기의 모든 것,광고 문의 1199 . 허위광고 사기사례 제보 . . 여러분들의 소중한 시간과 돈을 지켜드리는 채널 호갱구조대 입니다. 잘 알지 못해 손해볼 수 있는 부분들에 대해서 팩트만 집어 쉽고 빠르게 알려드릴게요 여러분들의 구독과 좋아요는 영상을 만드는데에 큰 힘이 된답니다. 소식을 받아보고 싶으신 분들은 알람설정도 함께 부탁드려요 00 00 전세사기 직접 당했습니다 00 19 용어 1 깡통전세 01 22 용어 2 근저당 02 15 용어 3 대항력 02 41 용어 4 우선변제권 03 14 용어 5 전세권설정 03 43 용어 6 전세보증보험 04 10 사기유형 1 갭투자 사기 05 11 사기유형 2 신탁사기 06 26 사기유형 3 대항력 악용 07 23 등기부등본 확인하는 법 전세 사기 전세금
806,2022-07-16,UCzxDUF7gyVKJfYCdtNnrYmg,"신탁부동산 전세사기, 신탁부동산이다. 일단 가계약 멈추세요",신탁부동산 전세사기가 증가하는거 같습니다 이러한 질문이 인터넷에 많이 뜨고 상담요청하는거 보니 이젠 대놓고 신탁부동산 사기를 유도하는군요 전에 제가 공동중개 요청한 부동산에서 신탁물건을 권했습니다만 신탁원부 제공 못한다하여 그곳이랑 거래 안한적이 있습니다. 신탁원부 오픈하지 않으면 믿지 마시기 바랍니다. 신탁부동산은 임대차보호법이 적용되지 않아 보증금을 돌려받지 못합니다.
805,2022-07-17,UCxdgnFyzm3WcalaBn2Ya6hg,신혼집이 지옥으로… 세입자들 전세사기에 '발동동' [디따 흙파고],디지털타임스 부동산 디따 흙파고 신혼 전세사기 세입자 빌라 갭투자 디따 유튜브 구독하기 . . ... 네이버 . . 디지털타임스 홈페이지 . . . 디지털타임스 페이스북 . . ... 제보하기 . .
804,2022-07-17,UCh5NBqrH5A2ZZhHtrsj_BPA,깡통전세 시장은 이렇게 흘러갑니다. 무피투자 플피투자 그리고 전세사기.,깡통전세 전세사기 무피투자 플피투자 깡통전세주의보 전세가 1. 용어 깡통전세 전세가가 매매가를 넘어서는 현상 2. 해설 금리인상으로 인해 매매가격이 흔들리고 있습니다. 반면 전세가격은 내리지 않고 오른 지역들이 많이 있습니다. 이로 인해 전세가격이 매매가격을 넘어서거나 70 90 대에 육박하는 경우들이 생기고 있습니다. 3. 왜 이런 일이 생겼나 입주물량이 저조한 지역들은 전세가격이 오릅니다. 반면 해당지역이 오랜 기간 매매가격이 정체되어 있었다면 매매 수요가 적었을 것이고 그로 인해 현지 거주민들은 매수를 꺼려했을 것입니다. 반면 투자자들은 입주물량 동향과 적정수요를 여러가지 어플 아실 호갱노노 부동산지인 등 을 통해 확인하고 투자했을 것입니다. 결국 매매가격이 저조할 때 매수한 물건들의 전세 체결시 전세가격은 입주물량 부족으로 매매가격보다 더 높은 가격에 체결되었을 확률이 높습니다. 4. 어떻게 해야하나 매매가격의 70 를 넘어서는 전세가율의 경우 섣부른 계약 체결보다는 반전세나 월세로의 이동이 전세보증보험보다도 안전하다고 생각하는 바입니다. 재테크의 기본은 돈을 잃지 않는 것입니다.
803,2022-07-18,UCZfYQCVJT7AohYLHpOyVbuA,전세사기 당하지 않는 방법 진짜로 알려드립니다,채널에 가입하여 혜택을 누려보세요. . . ... 유튜브 제주도부동산 검색하시면 더 많은 매물을 보실 수 있습니다 . . ... 스토리채널 . . 1 네이버밴드 . 58680983 인스타계정 . . ... 네이버 블로그 . . 티스토리 블로그 1. . 상호 드림공인중개사 등록번호 50110 2015 00131 사무실 주소 제주시 복지로 72 지층 상가 2호 도남동 방선문4차빌리지 대표 공인중개사 송현일 연락처 010 9006 8909 카카오톡 . 제주도전원주택 제주도타운하우스 제주도토지
802,2022-07-18,UCiHCmazdsMM9j3Jbqx3p7Ig,"""요즘 전세 사기 이렇게 칩니다"" 서울 공인중개사가 알려주는 전세 사기 예방법 (feat. 러셀)",러셀 님과 함께 요즘 가장 많이 일어나는 전세 사기 수법 그리고 그 예방법에 대해 들어봤습니다. 소중한 우리의 돈 잘 지켜보아요 전세계약 전세사기 전세사기안당하는법 김짠부가 덜 쓰고 더 버는 방법 . 3 4 이메일 강연 광고 출연 문의 258 . 인스타그램 . 2 8 팟빵 팟캐스트 . 3 3
800,2022-07-19,UCzC0CyJV8KwRDA0JKevQKng,눈물처럼 떨어지는 집값에 '깡통전세' 비상??전세 사기는 일제강점기에도 있었다?!ㅣKBS 해 볼만한 아침 220720 방송,깡통전세 전세사기 전세대출 갭투자 박재민 얼마 전 한국은행이 기준금리를 인상하면서 대출받은 분들의 부담이 커지고 부동산 시장은 관망세로 이어지면서 고민들이 많아지고 있습니다. 오늘은 최근 우려되는 집값 하락에 따른 깡통전세에 대해서 토크합니다. 중요 타임라인 00 00 전국 깡통전세 주의보 현재 상황은 00 37 깡통전세 란 02 51 신축빌라의 경우 07 11 서울도 깡통전세 안전지대는 아니다 08 13 깡통전세로 인해 발생하는 피해 현황 09 16 깡통전세로 전세금을 받지 못하는 경우 12 31 일제강점기에도 발생했던 전세 사기 사건 13 49 전세 사기를 피하기 위한 대비책 18 14 세입자가 전세보증금을 지키기 위한 대응법 21 21 결국은 서민의 고통 아닌가
801,2022-07-19,UCjATlmq6F5l0IndkXJshsgA,신혼집 지옥으로 전세사기 막으려면 _ 루원시티 - 센트럴부동산 한명화,빌라 400채 갭투자한 집주인은 이미 잠적한 뒤고 축하를 받아야 할 기간에 결혼도 미뤄지고 밥도 못먹고 잠도 못자며 힘든 시간을 보내고 있다고 합니다 청라 가정 루원 청가루의 중심 가정지구 아파트 루원시티센트럴타운을 소개합니다 상호 센트럴부동산 주소 인천서구 봉오재1로 36 상가동 103호 대표 한명화 전화 032 583 0012 등록번호 00286 2020 00022 가정지구 루원시티 청라 아파트 상가 분양권 매매 전월세 매물접수 받고 있습니다 블로그 . . 1
785,2022-07-20,UCodVYKZEcS-NE1B6wROGSPQ,깡통전세 등 전세사기 구속수사로 엄정대응! 서민 상대 전세 사기는 모조리 징역형│교대박변_이슈톡 #shorts,궁금하신 사항은 댓글로 남겨주세요. 단 질문 전에 구독과 좋아요 잊지마세요 법률사무소 유 법률사무소 유 유 는 박성현 대표변호사를 중심으로 각 분야 전문변호사들이 함께 의뢰인의 사건을 최적으로 조력하고 있습니다. 한 해 천 여 건의 형사사건을 무죄 무혐의 등 성공적으로 수행한 노하우를 바탕으로 성범죄 강간 강제추행 재산범죄 사기 횡령 배임 교통범죄 음주 뺑소니 강력범죄 폭행 마약 등 사건에 다루는 데 있어서 전문 형사대응팀이 최선을 다해 도우며 최상의 결과를 내고 있습니다. 홈페이지 . 블로그 . . 2 카페 . . 119 상담문의 02 3495 2829 상담메일 1 . 카카오톡 1 1 상담하기 . . 비밀보장 대표변호사 직접상담 전세사기 깡통전세 부동산사기 이중계약 부동산전세사기 빌라전세사기 전세보증금 구속수사 세모녀전세사기 갭투자 사기죄 사문서위조죄 동행사죄 특경법 가중처벌 형사전문변호사 형사변호사 형사사건 형사처벌 서울대변호사 변호사수임 변호사비용 수임료 선임료 변호사유튜버 변호사선임 변호사상담 변호사전화 변호사비대납 변호사
786,2022-07-20,UCkuQopfKLCsEZ9oWEGmh0bw,전세사기 당하지 않으려면 꼭 알아야 할 것  - [0교시라이브 클립 22.07.21],세계최초 질문받는 0교시 라이브 정규편성 매주 수 목 금 08 00 윤 대통령이 전세 사기 대책과 관련 이른바 깡통 전세 가 우려되는 지역을 선별해 선제적으로 관리해나가겠다 고 밝혔습니다. 사회적으로도 아주 큰 문제인데요... 전세사기 당하지 않으려면 꼭 해야 할 몇 가지가 있습니다 깡통전세 전세사기 부동산 대통령 전세대출 전세대출금리동결 딩딩대학 딩딩라이브 0교시라이브 실시간 오늘의이슈 시사 교양
789,2022-07-20,UCkinYTS9IHqOEwR1Sze2JTw,"윤 대통령 ""전세 사기에 엄정 대처…임대차법 개정 필요"" / SBS",윤석열 대통령이 경찰에 전담반을 구성해 전세 사기 범죄를 강력히 단속하라고 지시했습니다. 또 지난 정부에서 도입된 임대차 3법 개정 필요성도 다시 한번 강조했습니다. 강청완 기자입니다. 더 자세한 정보 보기 . . . 1006830598 부동산 정책 시장 동향 기사 더보기 . . . 100000... 뉴스 모닝와이드 부동산정책 시장동향 뉴스 채널 구독하기 . . . 뉴스 라이브 . . . . . . 뉴스 제보하기 홈페이지 . . . 애플리케이션 뉴스 앱 설치하고 제보 . . . 카카오톡 뉴스 와 친구 맺고 채팅 . . 페이스북 뉴스 메시지 전송 . . 8 이메일 8 . . 문자 6000 전화 02 2113 6000 홈페이지 . . . 페이스북 . . 8 트위터 . . 8 카카오톡 . . 인스타그램 . .
