,작성일,작성자,내용
7713,2015-06-27,Da_Ram_,동성애가 병이고 치료가 가능하면 내가 동성애자 간호법을 배우고 있겠지 염병
7712,2015-07-13,rocn_x,본 대한간호협회 홈페이지에서 100만 서명운동 성명서를 읽어보시고 간호법 제정을 위한 서명운동에 동참해주세요. . . .
7711,2015-07-22,Edward_Notten_V,신체 구조 병리학 생리학 간호 방법 의료법 간호 통계 분야별 간호법 등등 배워요. 의학용어도 배우고.
7709,2015-08-04,newsculture1,오마이베이비 라둥이 달라도 너무 다른 엄마 간호법 공개 . 1
7710,2015-08-04,insight_co_kr,달라도 너무 다른 라둥이의 엄마 간호법 아프다 는 슈의 말에 라희 라율이 보인 다른 반응 . 7 . 628374009126629376 1
7708,2015-08-05,cjdfhrtor_U,열 좀 심한 감기같은 거라도 사부는 분명 간호법같은 거 따로 공부해서 간호할 것
7705,2015-08-20,leehhyo,자살하겠다 협박해서 간호법 막았다고 자랑..서자 같은 삶이라니..너무 어마무시한 말을 아무렇지 않게 하다니...
7706,2015-08-20,newbie_RN,간호법 제정 반대하고 간조법제정 추진중인 간무협회장 칭찬하는 글 보기 불편하다고 그랬더니 왜용 하고 있네 차단
7707,2015-08-20,doc3news,서자 같은 삶 살았던 간호조무사 으로 위상 정립 자결 선언까지 하며 간호법 제정 막았던 대한간호조무사협회 홍옥녀 회장을 만나봤습니다.... . 3
7704,2015-09-03,Dimple_xing,간호법 제정을 위한 아고라 서명 운동입니다. 많은 분들의 관심과 서명이 필요합니다 . . .
7703,2015-09-04,miraengi,간호법 제정을 위한 100만 대국민 서명운동에 동참해주세요. . . . 이건 진짜 꼭 해야함
7702,2015-09-04,joe_u_u,간호법개편이 말이 많은데...아 물론 여기 의료계에서만 여튼 내가 간호대학생이긴 하지만 저기에 서명하고 의견올려달라고 학교에서 맨날 톡오는데 못해주겠다 결국 저건 전부 자기 입장에서 생각한 이기적인 일인것뿐이잖아
7701,2015-09-04,Dimple_xing,그리고 이건 간호법 제정을 통해 국민건강 중심으로 간호 인력을 개편하자는 내용의 100만 대국민 서명운동입니다 . . .
7700,2015-10-08,MockraiI,내가 매운거 많이 먹어서 벌써부터 속 쓰리다고 하니까 보건과 애들이 갑자기 급성 위염 간호법은 그러길래.. ... 이과생보는 문과생 느낌이였다.
7698,2015-10-10,quietlim7,이상윤의 지극 정성 간호법이란 두번째 스무살 14화 . 7 7
7699,2015-10-10,Qur41,이상윤의 지극 정성 간호법이란 두번째 스무살 14화 . . 7 7
7697,2015-10-10,chebu2011,최지우 이상윤의 지극 정성 간호법이란 두번째 스무살 14화 . 7 7
7695,2015-10-12,tvingdotcom,두번째스무살 이상윤 의 지극 정성 간호법 간호의 정석 영상으로 보기 . . 653350578383273984 1
7694,2015-10-29,leehhyo,..은 뭐하나.. 이런때 또 입 다물고 있나 간호법 제정 노래를 부르더만 뭐 이룬것도 없이 회원들이 반발한다고 경고메일이나 보내고 ..쓸 힘이 없으면 회비를 거두지를 말든지..어휴 갑갑터져라..
7693,2015-10-30,Leona4THiddy,간협은 뭐하나. 이 트윗을 끝으로 활동도 안하고 생기지도 못하는 간호법으로 물타기하고. 병원에서 비간호사로 불법을 저질러도 신고하는 활동도 범국민 간호알기 캠페인도 안하고. 이 계정 누가 관리하세요 . 529136760194740225
1234,2015-11-03,newbie_RN,법을 하나 제정할 수 있는 권력이 생긴다면 어떤 법을 만들 생각인가요 간호법 간호법 제정하라고 . . 45 75 62 6 7 7 7 7 5 43 55 44 66 4 43 7 5 7 4 2 2266 3 7 73 75 73 3 2 4 5 6 3 5 6
7692,2015-11-03,HJ_SalueEte,솔까 저런 간호법 개정 뉴스 덧글 보면 알엔들이 전부 분노하고 있는데 엔에이들이 거기다 대고 밥그릇 싸움이래
1233,2015-11-06,ast_aub,10 되어있고요. 백주대낮에 번연히 불법을 자행하도록 한거죠. 그러니 법이 현실을 못 따라간건데 그래도 아직도 간호법 제정이 안되고 있는 현실이랍니다. 아 그런데 미국은 간호법이 따로 있나요 메이님
7691,2015-11-06,ast_aub,10 그리고. 의료법상 간호사는 의사의 진료를 보조한다. 라고 되어 있습니다. 보조는 포괄적의미를 내포해서 사실 간호사업무가 애매하죠. 그래서 저희는 간호법 의 제정을 외치고 있습니다 이것은 국민의 건강과 안전에 꼭 필요하기도 합니다
7690,2015-11-08,Sadist_0x0,아누비스 뭔가 누군가를 간호 해 본적은 없어서 아프면 진짜 동공지진 할듯. 병원을 가야하나 근데 병원은 내가 싫다 하다 결국 인터넷으로 감기 환자 간호법 이런거 검색해 볼 것 같다. 아픈 란테 데드섹시...
7689,2015-11-11,seirune,그건 작년에 지혈은 기본이고 지금은 질병하고 간호법이랑 보건교육 같은거
7688,2015-11-22,joker4210,예비의료인이긴하지만 의대생들은 대자보 붙히기도했고. 간호협은 간호법 통과문제때문에 정부야당 눈치보는것 같기도 하고..
7687,2015-11-26,Leona4THiddy,4 현실적으로 간호법 제정이 어려우니 의료법에서 다른 의료인과 동등하게 역할내용을 담자고 주장해온 간호계 실무자 원로 교육자들의 말은 듣지도 않고 서명홈페이지 만들어서 운영하다가 임기끝나니 스리슬쩍 자기 법인양 내놓은 모의원
7686,2015-12-02,_VODKA_TONIC,나 간호법이랑 간호학 끝냇어 이저 오늘은 논다
7685,2015-12-04,dldkfh6003,아란첼 죽도 끓이고 물수건도 갈아주고.. 전형적이고 평범 하지만 가장 감동적이지 않을까 싶은 간호 류이한 약 사다 줍니다 마법으로 해결되면 후자 티론시 자신의 종족 만의 특별한 간호법 엘폰시 치유마법 쓰면 금방아닌가 자캐의 간호하는 방식
7684,2015-12-07,kuninagaTsuru,감기환자 간호법 좀 알려주렴
7683,2015-12-11,ichinose_love,그래 원래 아프면 땀을 흘려줘야한다고했어 루시 간호법을 잘 알고있구먼
7682,2015-12-27,ast_aub,그러나 지금같은 노동강도면 퇴근 후 거의 시체놀이만 해야될 터. 결국 간호수가 등을 위한 간호법제정이 시급하다. 배반의 꽃을 피우긴 하지만 그래도 김모임국회의원이 있었고 결국은 말귀를 알아먹는 신의원이 있었으니. 국회로도 가야. 보내고 갑시다 들.
7681,2015-12-31,Kaste_smd,기절이라. 아아 그 어디지. 카르나식 간호법이라던가 그런 말장난을 할 셈인가 좋다 응. 좋아. 저벅 저벅 걸어가더니 확 스태프에 이마를 가져다대곤 해. 당장. 기왕이면 기절말고 죽여. 너희들은 쉽잖나 그것들이.
7680,2016-01-05,eolies22,막 대충대충 치료해주는거 같은데 알고보면 지극정성이고... 감기나 머 그런거 한번 걸리면 시간 맞춰서 약 먹이고 자기는 방 밖에서 계속 일어날때까지 기다리고 그럴듯 뭔가 미묘하게사보랑 다른 간호법...
7679,2016-01-25,YES_YAJIN,뭔가 아프고 싶어지는 말인걸 그치만 우리쥬시 간호법은 조금 특이하니까...아직 아프기엔 이른 것 같다
71,2016-02-09,dreamqvravo,간호법 간호법 제정 의료법과 간호법의 비교 국내외 간호법 비교 간호계의 노력 간호법 제정에 관한 쟁점 사항 . . 2016 02 9.
7678,2016-03-03,2TX2TX2,테러방지법이라는 되도않은 독재악법도 악법인데 간호법 개정 됬다는 꼬라지하고는 진짴 지금 체계로도 얼마나 열악한데 거기다가 아 나는 말을 않겠다 도랐다 조국이시여......
7677,2016-03-08,rabbitsmoky,0510 같은 직종인데.간호법이 없고 의료법 내에 구체적으로 명시되어 있지않아서 의사들 밥그릇 싸움때마다 불법이 됐다가 합법이 됐다가 그런겁니다.
7676,2016-03-14,34_teril,간호법 머냐 이거 겨스님이 설명해주신건데 찾아야댐 귀찮스
7675,2016-03-17,Malweee,하지만 대장에서 짤순이가 돌아가든 말든 먹고 싶은 것은 계속 먹고 있는 나의 대단함 이마리 동물의 간호법 식욕이 없을 때는 응급상황입니다...
7674,2016-03-19,ellouy_SN,그래도 님들 심신안정 시킬 약과 간호법을 모르지만.. 이걸 올리는건 확실한것 같은데 . 711199715832889344 1
7673,2016-04-17,Gae_kk,인체 해부학이랑.... 간호법이랑 이것저것 여러가지로욬
7672,2016-05-01,LonelyonlyU,네 제가 엠알아이 자기공명영상 촬영을 하라는 이유는 지금 씨티촬 영 간호법 를 보고있 기 때문입 니다
7671,2016-05-03,pure_m4kiki,4811 병원에서도 어디서 듣고왔는지 이상한 간호법을 시도해보다가 간호사에게 혼나고 퇴원의 날은 계속 미뤄지고 그러다 히지카타가 병문안오는데
7670,2016-05-22,WizhappyWizlove,국민을 위한 건강을 위한 간호법 제정 . 2 5 9
7669,2016-06-01,wjddbs9709,시 부랄탱탱 간호법이나 빨리 지정해달라고 슈 발 누가 주사놓으라고 법으로 안정해져있으니까 존나 조무사도 병리사도 간호사도 다 주사놓잖음
7668,2016-06-01,wjddbs9709,자기가 대통량되면 간호법 제정해주겠다던 박 혜 어디감
7667,2016-07-04,krmdaon,2016.07.02 영화 후기 우리연애의이력 두번째 관람 이별하지 않은 연이와 선재의 티격태격 슬픔 간호법의 사랑 무대인사 조성은 전혜빈 신민철 모습 등 0. . 220752973123
7665,2016-07-28,qwert_1110,가끔 당신이 저보다 건강해보일 때가 있어요. 나도 느껴. 정말 어디가 아픈지 말 안 해줄 거예요 어. 너무하다 진짜 간호 열심히 하는 사람한테 최고의 간호법을 알려줄까 정말요 네 네가 조용히 입을 다무는 거야.
7664,2016-08-06,flower_nearby,네 동물병원 의사 선생님께서는 먹여도 안나으니 안주는게 보통이라고 하시네요 그래도 뭐 좀 조심하는거나 애기 어떻게 간호하시는지 궁금해서...찾아봐도 치료법이나 간호법은 잘안나와서요
7660,2016-08-24,wiing246,비뇨기감염에 걸린 아이의 간호법 . 1 55 12
7659,2016-09-04,qnddj34,그렇습니다 우리 죠슈아 사람도 치료하는 으사... 왠지 하늘이에게는 약 뭐 먹고 얌전히 누워계세요 하고 마르에게 전화해서 간호법 두다다다설명해줄거 같아요
7658,2016-09-19,winnerart94,94 공부해야하고 외워야된다. 참고로 이세상에 발견된 모든 질병에대한 병태생리.사정.치료.간호법을 모두 외워야한다. 물론 이세상모든병은아니겠지만 체감상 그런다.
1232,2016-09-25,sodium129,간호사들은 의료법을 개정하자는 게 아니고 간호법을 만들자는 건데 이기적인 한 의원 덕분에 간호법은 커녕 이제 의료법에서도 설 자리가 더욱 없어졌다. 그리고 그 의원과 일부 꼰대간호사들은 자기가 겁나 일 잘한 줄 알고 있음. 개속터짐....
7657,2016-09-30,yii_ree,카산드라 맨스 안돼 헐.. 어쩐지 감기 걸렸을 때 간호법이 다 이성애더라니
7653,2016-10-04,Defloreo_lili,올해 초 그래서 처음으로 간호법이 째끔 제정된 업적은 하나 잇어요 축포 1시 반에 뵈어요
7656,2016-10-04,Defloreo_lili,돈 좀 더줘라 억대연봉 줘라 나 나중에 국회의원 하련다 간호법 제정
7655,2016-10-04,Defloreo_lili,저희는 법도 없습니다 간호법은 없고 의료법만 있으니 의사 따까리 아가씨 간호원 소리 듣지요 정식 명칭은 간호사 선생님이랍니다 몇 안되는 스승 사 붙은 직업이지요 헉 이 얘기 하면서 신세한탄하면 믿도끝도 없으니 공부해야하는데
7654,2016-10-04,fakerasing,오잉 간호법은 따로 없어요0 0 처음 알았네요.. 간호사 선생님 근무환경이 열악한 줄은 알았는데 따로 만든 법도 없는 줄은 몰랐어요.. 무슨 일이지.. 당장 시험이 코앞이니까 일단 벼락치기 할 내용들 외우시구 나중에 봬요
7652,2016-10-07,Defloreo_lili,나 국회의원을 할까해 썩어빠진 으료계에 간호법을 제정하겠어 시발
7651,2016-10-07,wjghyunsuk,비뇨기감염에 걸린 아이의 간호법 출처 가장 위대.. . . 84 220791858659 블로그 . 6 4
7650,2016-10-11,PaDDi_TA,안그래도 엘가 열 많은데 열이 아주 뜨끈뜨끈... 굉장히 인간들 다운 간호법이라고 할 것 같아요 후 어릴 때 안톤에게 잔뜩 귀여움 받아야는데 만두가튼 볼
7649,2016-10-22,KC_Shiranui_kor,감기 걸렸을 때 초 스피디한 간호법이 있어.
7648,2016-10-25,limelemon26,내가 딴건 제쳐두고서라도 간호법 제정때문에 그렇게 2번뽑으라구 얘기했는디... 결론적으로는 엄마도 어린이집에서 근무하는데 그 코때뭉에 시위나가고 그랬음
7647,2016-11-03,wjddbs9709,나도 시러 간호법이나 만들어조 빼애액
7646,2016-12-07,Kanaruzawa_S,간호하는 것이다. 꼬옥 안아서 사랑의 힘으로 낫게 하는 것이 나의 간호법이다. . 806320689288396800 1
249,2016-12-11,Rld_Rkd__,간호법은 미국에서는 노스캐롤라이나를 중심으로 제정되기 시작하여 현재 대다수 주가 간호법을 갖추고 있으나 우리나라의 경우는 아직 제정되지 않았다 내가 보고있는 게 옛날책이라 확실한지 모르겠다 2004.09.16일자 간협신문에 게재된 간호법 안 참고
7645,2016-12-19,Lapuger,완벽한 간호 열 잴땐 꼭 이마와 이마로 재고 스프 손수 떠먹여주고 비몽사몽 앓다가 깼을 때마다 곁에 항상 있고 땀 쫙 빼면 수건 적셔 닦아주고 고열로 잠 설치면 무표정한 얼굴로 도닥여주고 너무 노마지 간호법
7644,2016-12-28,wolfnagogo,아시바 병이랑 원인 간호법 어캐 다외우냐 내장 설명하는데 이해안돼 자살
7643,2017-01-07,ichbinjean_0326,그러고 보니 저도 일본에서 유혈페리스콮을 한적이있네.. 선가락끝이 이 외로 지혈이 안되는 부분인지 피가 철철철 나는데 휴지에 고무줄 끼워둿다가 빌님이 그건무슨 20년대 간호법이냐고 함
7642,2017-01-17,LuisU1287,민중은 몸에 베인 지하철타는 법 방명록 작성법 환자 간호법 등을 자칭 대통후보에게 가르칠만큼 한가하지 않으니 마른길만 걸어온 당신은 택도 아닌 대권은 접고 어디 사설학원서 이것들부터 배우시길. 기름장어는 서민코스프레 그만 . 1287 821208061725458432
7641,2017-01-22,wjghyunsuk,비뇨기감염에 걸린 아이의 간호법 . 6 4
7640,2017-02-14,roh0sun,아기의 가슴과 엄마의 가슴에는 특별한 신경다발이 있고 이 신경은 살갗 대 살갗의 접촉으로만 자극되며 그 자극은 아기의 두뇌로 옥시토신 신호를 보낸다 이런 놀라운 내용이 나오는 캥거루식 조산아 간호법에 대한 재미난 기사.
7639,2017-02-14,roh0sun,목욕 안 시키는건 엄청난 에너지를 소모시키기 때문에 아기에게 위험해서 미국은 인큐베이터로 조산아를 돌보면 하루에 5 6백만원씩 비용이 드는데 캥거루 간호법의 경우에는 하루 비용이 몇천원 정도. 추산 년간 45만명의 아기를 살리고 있다고.
7638,2017-02-20,nilt______,진짜 위급한 상황이면 병원에 간다 가 정석의 간호법이잖아요 응급실 가면 당연히 보호자 로 같이 가죠 그냥 평범하게 심한 감기면 몇날며칠을 붙어서 간호해주죠 질리지도 않고 너무나 정상적인 병간호라 바딤이 어이없을 정도로...
7636,2017-03-11,Yeta_2cha,여기서 핸드폰 켜서 열 떨어트리는 방법 몸살 간호법 이런거 찾아보면 그게 또 씹덕일거라고 환기... 잘 되게... 음식은... 죽 위주... 주위를 조용하게 해야 한다고.. 음 물수건이랑..
7637,2017-03-11,rudredh1,의사들이 말하는 진짜 치료법과 심평원 치료법 이 있듯이 한국의 간호사들에게도 진짜 간호하는 방법과 한국 병원의 간호법 이 따로 존재하는듯. 하지만 그렇게 하지않으면 허벌나게 욕먹는건 간호사인듯 간호사면 2시간마다 체위변경 해야지
7635,2017-03-22,Mi7123Na,대한간호협회 아고라 간호법 제정을 위한 100만 대국민 서명운동 2. 7 질높은 간호를 위해 많은관심 그리고 서명 부탁드립니다
1231,2017-03-23,_53674057,님들 간호법 없는거 알고있었음 시간 얼마 안걸리니까 해줘 아무나 할 수 있음 간호법 제정을 위한 100만 대국민 서명운동에 동참해주세요. . . .
7633,2017-03-29,nolgomoggosipo,단순히 망뭉이 그런 느낌이 아니라 망뭉이의 해부학적 구조 얘의 번식생리 사양관리 행동학 훈련 미용 품종 간호법 미용하는 법 얘에 관련된 법 얘로 돈버는 법.. 근데.. 난 망했잖아. 죽어야지
7632,2017-03-29,nolgomoggosipo,단순히 망뭉이 그런 느낌이 아니라 망뭉이의 해부학적 구조 얘의 번식생리 사양관리 행동학 훈련 미용 품종 간호법 미용하는 법 위생 관리 얘에 관련된 법 얘로 돈버는 법.. 근데.. 난 망했잖아. 죽어야지
7631,2017-03-29,nolgomoggosipo,단순히 망뭉이 그런 느낌이 아니라 망뭉이의 해부학적 구조 번식생리 사양관리 행동학 훈련 미용 품종 간호법 미용법 위생 관리 관련법 얘로 돈버는 법 망뭉이 옷이나 장난감 만들어주기 얘를 다루는 법.. 세분화된 영역이 많음
7627,2017-03-30,Elseung,오늘은 제발 의학용어 외우고 간호법 조사 끝내자..
7626,2017-03-30,eliot_ian,대한간호협회 아고라 간호법 제정 서명운동 이거는 일단 다른 사람의 일이 아니라 바로 당신의 일이 될 수 있습니다 왜냐하면 간호의 법제화는 환자의 안전을 한층 더 높은 수준으로 보장할 수 있기 때문이죠 . . .
7625,2017-03-30,Elseung,간호법 자료조사만 하면 오늘 할 일은 대충 끝내는 건데..하기가 싫죠
7618,2017-03-31,gyjeon1,간호법 제정을 위한 100만 대국민 서명운동에 동참해주세요.
7610,2017-03-31,duung_the,알티부탁드립니다 . . . 여러분 여기 들어가셔서 서명부탁드리겠습니다 간호법 바꾸려는 서명입니다 바뀌게 되면 의료진분들도 좋고 환자분들도 더욱 편한 간호를 받을 수 있게 됩니다. 서명과 알티 부탁드립니다
7609,2017-04-04,__PE4CH,나도 법 포기 햇엇는데 간호법 보고 울어버리기
7608,2017-04-07,I_chu12357,안철수가 의사를 했어서 안철수를 뽑으면 조무사2년재를 만들고 지금 만들고있는 간호법 통과안된다는데
1230,2017-04-09,Captain_Lulusp,의사새끼들 인성검사 정신검사 같이해야한다. 아직도 의료계에서 간호사는 의사 따까리다. 선진국엔 간호법이 따로 있고 의사와 같은 판단력을 가졌지만 우리나라에선 아직 그러지 못하고 있다. 간호법이 생기고 자율성이 생기면 간호사가 의사를 무시할거라나 뭐라나
7607,2017-04-20,bbbbaaanaaa__,. . . 간호법 제정 서명운동인데 부탁드립니다 더 많은 분들이 아시고 참여해 주셨으면 좋겠는 마음에 올립니다 해주시면 더 좋지만 보시고 참여만 해주셔도 너무 감사드려요
7606,2017-04-22,wjddbs9709,14 근데왜아직 안만들어줘 다음대대통령 빨리 만들어줘 간호법
1229,2017-04-27,whiteangel_wing,조무사와 간호사의 업무를 확실히 구분하자는 간호법제정은 반대하죠. 한국에서 두 집단이 서로 각자의 영역에서 일하기 위해서는 우선 간호법제정과 의료법개정이 필요하고 수평적 동료관계라는 인식 개선도 필요하다고 생각해요.
7605,2017-05-03,deul_pretty,간호사가 신이냐 저 많은 환자를 어떻게 혼자서 봐 간호사가 주사 놓는 업무만 하는 줄 아나봐 간호사 처우 개선만 잘해주고 조무사랑 업무 가이드라인 제대로 잡아줘요 제발 그리고 간호법 좀 제정해주세요 우리나라는 의료인을 대하는 태도가 글러먹음
1228,2017-05-04,mule0218_svt,간호법 제정을 위한 100만 대국민 서명운동에 동참해주세요. . . . . . . 많은 분들의 관심이 필요합니다. 서명은 간단하니 동참해주시면 감사하겠습니다. 간호사 간호법
7604,2017-05-08,pago0o,어어 우선 비는 딱 정해진 그 간호법을 따를 거 같아요... 감기면 약 먹이고 눕혀서 물수건을 올려준다거나.... 간단하게 죽을 해주고 계속 옆에서 책을 읽거나 공부를 하거나 하는 식으로 조용히 있을 거 같아요
7603,2017-05-11,BobylevaStrong,. 908061789 간호법 . . 963095774 . 257768166 . 937544648 적다리의 선이 완연했다. 검은
7601,2017-05-13,audreyya,간호 인력 부족 해결책 무엇 다음뉴스 . . . 20170513040010942 간호 인력 수급 개선책으로 간호법 제정 간호관리료 등 간호수가체계개선 표준 임금 가이드라인 마련 탄력근무제 도입 중소병원 간호사 인건비국가지원
1227,2017-05-13,leehhyo,간호법 제정해야 된다고 언제부터 말 나오고 간협 공홈에도 걸려있고 서명 받고 이러는데 노 관심 지금 있는 법도 제대로 안지켜지고 여기저기서 어케든 간호사 후려쳐 먹으려는데 뭐 간호법 무슨 내용인지 공개도 안하는 그 법이 뭔지 알고
7595,2017-05-14,crossdustwhale0,제가 2학년 인가 간호조무사들의 주장과 간호법 개정을 위해 서명하는걸 했엇는데 원래 심각하긴 했엇음...
7597,2017-05-14,Defloreo_lili,작년인가 간호법 제정할 때 쯤에
7596,2017-05-14,jju_RN,직업자체가 다른건데 비정규직 정규직 들먹거리지도 마세요 논할 주제가 아니고요 그리고 제발 간호법제정 해주시길 고인물도 썩어 들어가는데 사방팔방에서 난리야 아주
