,작성일,작성자,내용
5951,2013-01-20,jkpark14,스토킹 할아버지 처벌 노동자 해고... 박근혜의 답은 . . . . 0001826870 000 1 0000
5947,2013-01-21,ryudh11,스토킹 할아버지 처벌 노동자 해고... 박근혜의 답은 . 박근혜의 답은 당연히 엄슴
5949,2013-01-21,Saveourunion,스토킹 할아버지 처벌 노동자 해고... 박근혜의 답은 . 4 7
5948,2013-01-21,hally5680,스토킹 할아버지 처벌 노동자 해고... 박근혜의 답은 . . . 0001826870 국민51 의 선택이 바로 이런거였나 철통보안 불통 무엇이 두려워서 당선된지 얼마 되지 않았는데도 이런데 향후5년을 지낼걸 생각하니 꿈만같다.
1298,2013-01-27,Blackhills__,스토킹은 상대의 피를 말리는 정말 나쁜 범죄입니다. 8만원만 벌금 내면 같은 범죄로 처벌 받지 않는다던데. 오해가 있는건가요 아님 진짜 이렇게 되는건가요 스토킹범은 그래. 좋아. 8만원 벌금 내는 대신 1년 내내 스타킹 얼굴에 쓰고 살기. 어때요
5946,2013-01-28,0903gonzaga,사랑이 죄구나... 그래 사랑은 죄악이야.. 그래서 나는 결혼을 안하기로 한다. 근데 염산테러에 칼부림까지 이어지는 스토킹 집착을 그저 8만원 경범죄로 처벌 하는건 황당한데.. 그렇구나 표창원도 황당한 인간이구나..
5945,2013-01-29,ajane0,2 그 분은 최근 경범죄처벌법이 개정되 스토킹행위 처벌은 8만원만 내면된다고했는데 돈이 문제가 아니라 돈만 내면 얼마든 범법행위를 해도 된다는 상식적으로 이해불가한 그 발상과 저렴한 준법 정신에 경악했던 기억이 아직도 생생합니다.
5944,2013-01-29,ajane0,2 표 전 경찰대 교수는 최근 경범죄처벌법이 개정되어 스토킹행위 처벌은 8만원만 내면된다 고했는데 돈이 문제가 아니라 돈만 내면 얼마든 범법행위를 해도 된다는 상식적으로 이해불가한 그 발상과 저렴한 준법 정신에 경악했던 기억이
5940,2013-01-29,crzbro,중한 스토킹 행위에 대해서는 여전히 협박죄나 주거침입죄 상해죄나 폭행죄 폭행치상죄 등의 형법과 정보통신망이용촉진 및 정보보호등에 관한 법률이나 성폭력범죄의 처벌 등에 관한 특례 등이 적용되어 중하게 처벌됩니다. . 296264220876623872 1
5941,2013-01-29,crzbro,우려하시는 끔찍한 스토킹 행위에 대해서는 협박죄나 주거침입죄 상해죄나 폭행죄 폭행치상죄 등의 형법과 정보통신망이용촉진 및 정보보호등에 관한 법률이나 성폭력범죄의 처벌 등에 관한 특례 등이 여전히 적용되어 중하게 처벌됩니다.
5942,2013-01-29,an_abomination,행위태양이 지나치게 다양해서 꽤 강한 처벌이라면 위헌이겠죠... 구성요건이 어느정도인지 진짜 강한 수준의 스토킹에는 주로 어떤 형사법이 적용되는지를 유기적으로 공부해봐야 적절한지 아닌지 알 수 있을듯
5943,2013-01-29,bluwaves,지금 스토킹은 어떤 수준의 범죄인가요 전에도 처벌이 약하다했는데.
1296,2013-01-29,haya14r,최근 경찰청은 스토킹을 경범죄로 분류하는 경범죄 처벌법 시행령 개정안을 입법 예고했다. 이제 8만원으로 안 되나 봐여 스토킹 하디므러
461,2013-01-29,crzbro,잘못된 정보가 퍼지고 있군요. 경범죄처벌법에 신설된 스토킹처벌조항은 지금까지 처벌할 수 없었던 단순 지켜보기나 따라다니기 접근하기 등도 처벌하기 위해 만든 규정입니다. 오히려 스토킹의 처벌범위가 넓어진거죠. . 296263298784047104 1
1295,2013-01-29,mediamongu,경찰청이 스토킹을 경범죄로 분류하기로 입법예고 했는데요. 끔찍한 스토킹을 당해도 8만원의 벌금만 물면 스토커는 별다른 제재 없이 풀려나게 된다고 합니다. 너무 가벼운 처벌 아닌가요 가해자가 큰소리치고 피해자가 피해 다니는 세상 이유가 다 있는 겁니다
1294,2013-01-29,tkfkd11,펌 경찰청이 스토킹을 경범죄로 분류하기로 입법예고 했는데요. 끔찍한 스토킹을 당해도 8만원의 벌금만 물면 스토커는 별다른 제재 없이 풀려나게 된다고 합니다. 너무 가벼운 처벌 아닌가요 가해자가 큰소리치고 ... . 1 3
1293,2013-01-29,crzbro,경범죄처벌법에 신설된 스토킹행위 처벌조항은 지금까지 처벌할 수 없었던 경미한 스토킹 행위도 처벌하기 위함입니다. 중한 행위에 형법이나 특별법을 적용하여 더 무겁게 처벌하는 것은 여전히 가능해요 . 296260351874457600 1
1297,2013-01-29,blusanta,이렇게라도 널 보고 싶었어 악몽의 시작은 . . 5374515 스토커 행위의 강력한 처벌 조항을 담은 스토킹 처벌 및 피해자 보호에 관한 법률 제정안 은 아직까지 잠자고 있다. 스토커를 스토커라부르지 못하고 ...국개의원들아
5939,2013-01-30,pneumas,보다 강력한 처벌이 필요합니다. 동시에 스토킹 법적 고발시 필요한 요건이 있는데 본인의 분명한 거절 의지 를 상대나 제 3자에게 제시해야 합니다. 트윗에서 블락 정도가 아주 유효한 도구이고 일상에서는 고객님 사랑합니다.
5938,2013-01-31,verfahren3,8 아마 스토킹이 당장 막 벌어진 상태에서 곧바로 개입하는 법률은 없을겁니다... 처벌법규나 여타 보전처분 등의 조치는 마련되어 있지만요.
1292,2013-02-04,Newlibertyguy,표창원 최근에 경범죄 처벌법이 개정돼서 스토킹 행위는 8만원의 범칙금만 내면 됩니다 법이 있는 이유는 이런 처벌을 받을 수 있으니 범죄를 저지르지 말라 는건데 표창원은 처벌을 감수할 수 있다면 범죄를 저지르라 고 하네요.
5937,2013-02-12,dywjdxkfk,응응 믿어도 될거같아.스토킹이나 직접상해로 인해 범법행위가 있을경우는 소송이 아닌 형사처벌..그니깐 형사소송쪽으로 빠지게 되는거라고 무지 친절히 설명해주시더라..
5936,2013-02-12,JEJU_news,미디어제주 스토킹 길거리 구걸행위 도 경범죄로 처벌 . 12 2
5935,2013-02-12,ijejutoday,장난전화 거짓신고 범칙금 8만원 개정 경범죄처벌법 3월 22일 전면 시행 스토킹도 처벌 대상 8만원 범칙금 . 1 0 0
1291,2013-02-13,Greenlaube,열번 찍어 안 넘어가는 나무 없다는 말 스토킹하는 남성들이 갖고 있는 사고방식인 것 같아요. 결국 그렇게 스토킹을 하다가 여성... 스토킹 행위의 경범죄 처벌 대상에 대한 소고 경기웹진 .
1290,2013-02-13,dongkiki529,스토킹이 경범죄로 8만원만 납부하면 형사상 다시 죄를 물을수 없다니 문제가 심각하단 생각이 듭니다. 더욱이 스토커를 처벌하려면 피해자가... 특별법 도입으로 스토킹 처벌 강화해야 경기웹진 . 0
133,2013-02-13,ljs11153,스토킹도 스토킹 나름이다 이제는 그런게 없다고 생각해요. 뉴스를 보면 너무 무서운 세상이 되었는데 이제는 스토킹 자체도 범죄 행위로 ... 특별법 도입으로 스토킹 처벌 강화해야 경기웹진 . 0
135,2013-02-13,jjj00824,저도 처벌을 강화해야 한다고 생각합니다.. 한 사람의 생활자체를 망가뜨리는 행위라고 생각하는데요.. 스토킹 처벌이 미약하니 오히려 걱정... 특별법 도입으로 스토킹 처벌 강화해야 경기웹진 . 0
136,2013-02-13,KellyparkUK,처벌을 강화해야 하는것에 동의합니다. 처벌자체가 미약하니 범죄자들에겐 처벌불감증이 생길수 밖에 없다고 생각합니다. 날이 갈수록 흉악범... 특별법 도입으로 스토킹 처벌 강화해야 경기웹진 . 0
40,2013-02-13,golden_rich1,악의적 스토킹은 정말 범죄죠. 대부분의 스토킹이 악의적 스토킹인 만큼 스토킹에 대한 벌금 강화와 미국의 사례처럼 1년 이상의 징역을 때... 특별법 도입으로 스토킹 처벌 강화해야 경기웹진 . 0
7,2013-02-13,vsv88888,스토킹의 처벌은 강화해야죠. 솔직하게 요즘 스토킹은 범죄를 위한 악질적인 스토킹이 대부분이기 때문에 뭐.. 사랑해서 스토킹 했다 이런건... 특별법 도입으로 스토킹 처벌 강화해야 경기웹진 . 0
134,2013-02-13,lkh950,스토킹의 처벌을 강화해야 한다는 것에 동의합니다. 더욱 더 흉악 범죄 기승하는 이 시대에 스토킹을 지금과 같이 방치한다면 범죄를 예방하... 특별법 도입으로 스토킹 처벌 강화해야 경기웹진 . 0
5934,2013-02-17,DrPyo,8만원 애교로 봐줍니다. 다만 그동안 스토킹 문제의 심각성 처벌입법 필요성 나만큼 많이 주장하고 글쓴 사람 있음 소개좀 해 주세요. 국기기관의 불법행위 의혹 밝히려 감시한 국민에게 인권침해 운운하니 현행법상 8만원 과태료라 말한 것.
460,2013-02-18,pororongmom,스토킹에 대한 처벌을 범칙금 부과도 좋지만 더 강하게 나와야된다는 입장입니다. 보통 스토킹을 당하는 입장... 스토킹 경범죄는 가부장제 사회 속 여성에 대한 부정적 통념 지속시켜 경기웹진 .
132,2013-02-18,pororongmom,스토킹에 대한 처벌을 강하게 해야될것 같습니다. 스토킹으로 인해서 피해보는 사람들만 해도 많을텐데 보복이 두려워서 신고도 못하고 시름시... 특별법 도입으로 스토킹 처벌 강화해야 경기웹진 . 0
5933,2013-02-19,nurybee,표창원씨가 생각나서 올립니다 작년 8월27일에 이미 국회에서 스토킹을 외국의 강력한 입법을 참고해서 경범죄 8만원이 아니라 형사처벌 할 수 있는 법안이 발의되었군요. 국정원녀사건때 이건 얘기했었나요 . 303820366680313856 1
459,2013-02-20,ay0526,스토킹은 처벌이 이뤄진 이후에도 반복될 가능성이 굉장히 높다고 생각합니다. 경범죄로 처벌해서 끝내기에는 차후에 더 커다란 문제로... 스토킹 행위의 경범죄 처벌 대상에 대한 소고 경기웹진 .
1289,2013-02-22,Radiostarlee,아무리 선한 의도라 할지라도 나도 모르게 누군가의 스토커가 될 수 있다는 사실 기억해야할듯 스토킹처벌 스토킹 경범죄 되다 . 4 8
5932,2013-02-22,DominilboJb,사회 스토킹 행위 3월부터 처벌받는다. 심각한 정신적 육체적 피해를 주지만 처벌근거가 부족해 예방과 제지에 한계가 있었던 범죄에 대한 경범죄처벌법이 개정된다. . . . . 972827
5931,2013-02-24,wikitree,경범죄 처벌법 시대변화에 따른 40년만의 개정 . . 107447 우리사회 선진화로 경범죄 규칙이 대폭 개정되고 주취 스토킹 처벌이 강화됐습니다 위키트리
5930,2013-02-28,polseobu,경범죄처벌법 개정으로 2013. 03. 22.부터 스토킹에 대해서 10만원 이하의 벌금 등으로 처벌 받을 수 있습니다. 또한 관공서에서 술에 취해 난동을 부리는 경우 60만원 이하의 벌금 구류 과료에 처하... . 1
5929,2013-02-28,GangwonPolice,국민이 알아야 할 경범죄 처벌법 개정 내용 경범죄처벌법이 2013년 3월22일부터 스토킹으로 문제가 되고 있는 지속적 괴롭힘과 관공서 주취소란조항이 신설되는 등 일부 조항이 .. . . 2102
5926,2013-03-05,polseobu,스토킹...이제 처벌 받습니다.
5927,2013-03-05,polseobu,개정 경범죄 처벌법 에 지속적 괴롭힘 스토킹 규정 신설
5928,2013-03-05,polseobu,경범죄 처벌법이 개정되었습니다 스토킹.....이제는 처벌됩니다. 관공서에서 술취해 주정부린 행위......이제는 처벌 됩니다. 경범죄 처벌법에서 새로운 항목으로 신설됨.
5921,2013-03-06,eehluhc,중도일보 스토킹 구걸행위 등 22일부터 처벌강화 . 9 중도일보
5923,2013-03-06,joongdoilbo,지난해 개정된 경범죄 처벌법이 오는 22일부터 시행됩니다. 개정법에는 관공서 주취소란이나 스토킹 광고물 무단 부착 등에 대한 처벌이 늘어났습니다. . 8
5924,2013-03-06,polseobu,지속적인 괴롭힘 일명 스토킹 상대방의 싫다는 의사 표현에도 따라다니기 연락하기 지켜보기 잠복하여 기다리기 등을 계속하는 행위르 하면 10만원 이하 벌금 구류 과료 처벌 받을 수 있습니다.
5925,2013-03-06,polseobu,경범죄처벌법 개정으로 지속적으로 접근을 시도하거여 면회 또는 교제를 요구하거나 지켜보기 따라다니기 잠복하여 기다리기 등의 행위를 반복하여 하는 사람 일명 스토킹에 대해서 10만원 이하의 벌금 등으로 처벌 받을 수 있습니다.
5919,2013-03-07,vvdre,개정 경범죄처벌법 3. 22 시행 특징 처벌필요성에 따른 항목 신설 2개 1. 스토킹 규정 신설 범칙금 8만원 지속적 괴롭힘 상대방의 명시적 의사에... . 2 02
5920,2013-03-07,thinkofgarden,중도일보 스토킹 구걸행위 등 경범죄 22일부터 처벌강화 . . . . 201303060311
458,2013-03-08,AJUMMA3512,스토킹에 대한 처벌은 좀더 강해져야할 필요성이 분명있는듯.스토킹으로 시작해서 살인으로 끝나는 사건이 많았기 때문에.. 직장 여동료 차에 달고 미행까지 30대 스토킹남 집유 2. 1 3
5918,2013-03-08,newsup981,시사자키 한국여성의전화 정춘숙 대표 지속적인 스토킹에 대해 강력한 처벌을 할 수 있는 법안을 추진하고 있다. .
1288,2013-03-11,ravenclaw69,정은이가 한 방 쏠끼여 를 외치는 와중에 여왕전하의 교지는 과다노출 금지 스토킹 처벌 암표처벌이라고 하니 졸라리 웃길 밖에...
1287,2013-03-11,sungsooh,스토킹 처벌은 필요지만 경범최처벌법으로 8만원 범칙금 물려서 해결될 일은 결코 아닙니다. 이런 식이면 애매모호한 행위만 경찰의 단속대상이 될 가능성이 높고요. 일정 수위 이상의 스토킹은 별도로 형사입법해서 징역형 벌금형으로 제대로 처벌해야 합니다.
1286,2013-03-11,oblivisci_me,사회통념상 어느 수준까지를 처벌의 대상으로 삼아야 하느냐인데 이것도 불명확하고 게다가 방법과 관해서는 이미 형법으로 처벌 근거가 있어서 애써 경범죄로 낮은 수준의 애매한 스토킹을 처벌함에 판단의 기준을 정식재판이 아니라면 참
5902,2013-03-11,Talking__bird_,그래도 단일 범죄보다는 지속적으로 병신짓을 하는 거니까 스토킹 자체에 대한 처벌도 강해야 한다고는 생각함 8마넌은 아닌 것 가태...
5866,2013-03-11,m_cong,스토킹 당하던 내 친구가 경찰서에 신고하니 상대는 5만원 정도의 벌금을 무는 것 외에 다른 처벌이 없다더라. 찾아오거나 욕설 폭력등의 행위가 없었다고.
5874,2013-03-11,aleph_wk,원래 과다노출 스토킹 암표 판매 다 경범죄처벌법에 포함되어 있었고 처벌받고 있었다. 다만 경범죄처벌법 제1조에 의거 10만원 이하의 벌금 구류 또는 과료 에 처할 뿐이었고. 이걸 시행령 개정으로 처벌 범위를 구체화하고 범칙금을 개별 규정한 것.
5915,2013-03-11,DM9035,경범죄 처벌 다루면서 종합적으로 된 거네요 1. 과다노출의 기준은 무엇인가 2. 왜 스토킹보다 암표판매가 무거운 죄요 3. 댓글란은 시궁창이니 보지 마시길 . . . . 1 102 001 0006138252
5846,2013-03-11,tiger980217,개정 경범죄 처벌법이 3월 22일부터 시행 주요내용으로는 관공서 주취소란 행위 60만원 이하 벌금 지속적 괴롭힘 일명 스토킹 10만원 이하 벌금 등 일부 처벌조항이 신설 . 980217 311112327338532864 1
5847,2013-03-11,minusoneshot,박종관 기자 과다노출에 범칙금을 부과하고 지속적 괴롭힘 즉 스토킹에 대한 처벌조항을 신설한 경범죄처벌법 시행령을 두고 논란이 일고 있다. 정부는 11일 오후 청와대에서 박근혜 대통령 주재로 현 정부 첫번째 국무회의를 열어 경범...
5901,2013-03-11,HowGeeek,문제는 과다노출이니 스토킹이니 하는 문제가 아니고 경찰력의 확대라는게 문제다. 재판없이 경찰이 그자리에서 처벌을 할수 있다는게.. 점점 무서워지는 사회다.
5848,2013-03-11,rhinoha,3 . 8 6 과다노출 5만원 스토킹 8만원 암표판매 16만원 박근혜가 말한 법대로 가 이거였군요. 재벌과 고위 관료들 탈세 처벌 특별법을 만들어야 할 판에 서민들만 잡겠다
5849,2013-03-11,houdini1018,경범죄 처벌법 개정안 중 과다노출은 5만원 스토킹은 8만원이라 과다노출의 기준은 뭔가요
5851,2013-03-11,headlinejeju,경범죄 범칙금... 과다노출 5만원 스토킹 8만원 첫 국무회의 경범죄 처벌법 새행령 개정안 의결 . . . . 174346 에서
5853,2013-03-11,an_abomination,폭행이나 감금 절도 주거침입 등의 형법적인 수단으로 처벌될 수 없는 스토킹은 그 수법이 워낙 다양해 경범죄로 할 수밖에 없고 그러다보니 민사상 손해배상과 접근금지명령 등 및 명령 위반시의 형사처벌 등의 방식을 취할 수밖에 없다고 생각.
5854,2013-03-11,Tcher_hans,이 나라 참.... 3 . 8 6 과다노출 5만원 스토킹 8만원 암표판매 16만원 박근혜가 말한 법대로 가 이거였군요. 재벌과 고위 관료들 탈세 처벌 특별법을 만들어야 할 판에...
5855,2013-03-11,shootingnova,그리고 3만원 일러 외주가 소속 도착하는 제보와함께 폭풍까이고있고 포항불바다 범인은 학생이라 처벌을 안받는다고 하고.... 오늘 가장 평화롭고 한가하고 잠잠한 곳은 정부인듯 노출5만원 스토킹8만원....
5856,2013-03-11,properhgmgr,난 찬성인데 3 . 8 6 과다노출 5만원 스토킹 8만원 암표판매 16만원 박근혜가 말한 법대로 가 이거였군요. 재벌과 고위 관료들 탈세 처벌 특별법을 만들어야 할 판에 서민들만 잡겠다
5857,2013-03-11,hello__pig,17258 과다노출 5만원 웃겨죽긋다.. 정부 스토킹 등 경범죄 처벌 28건 확대 . 14 방송부터 규제를 경찰나리들 옛날처럼 자들고 다니겠네 무릎 위 몇센치
5858,2013-03-11,vanilladoll8,자세히 살펴보니 과다노출도 스토킹도 상대에게 엄청난 모멸감을 주거나 몸에 위협을 느낄 수준이면 현행법으로 처벌이 가능한데.. 5만원 8만원은 대체.. 어느 상황에 벌금을 매긴다는거지 판단도 애매하고 그냥 쓸데없는 것 같은데.. 경찰 예산도 없는데
5859,2013-03-11,love17258,과다노출 5만원 웃겨죽긋다.. 정부 스토킹 등 경범죄 처벌 28건 확대 . 14
5860,2013-03-11,Superstar_kim,스토킹에 8만원을 부과한게 그럼 처벌을 종전보다 완화한 것이 되겠군요 ......
5861,2013-03-11,ojkms,재벌의 탈세 불법 증세는 눈감고 서민만 법치 증세 3 . 8 6 과다노출 5만원 스토킹 8만원 암표판매 16만원 박근혜가 말한 법대로 가 이거였군요.재벌과 고위 관료들 탈세 처벌 특별법
5863,2013-03-11,ilmartedi_Alexa,스토킹 경범죄처벌..충격에서 헤어나오질 못하겠다. 국무회의가 딱 초등학교 2 3학년 학급회의수준이다. 아니 어쩌면 초등학생들이 더 잘할지도 모르겠다...지하경제활성화가 목표라더니 진짜 지켜려나보다. 안지켜도 되는데...
5864,2013-03-11,yeinz,한편 스토킹에 대한 처벌이 너무 약하다는 지적에 대해서는 요런 기고가 충청투데이에 실렸다. . . . . 757712
5865,2013-03-11,kennedian3,. 8 6 과다노출 5만원 스토킹 8만원 암표판매 16만원 박근혜가 말한 법대로 가 이거였군요. 재벌과 고위 관료들 탈세 처벌 특별법을 만들어야 할 판에 서민들만 잡겠다
1285,2013-03-11,chatter_tzt,스토킹 이건 현행법 개정해서 처벌수위 높이고 기준요건 완화해서 처벌 범위 넓히고 피해자들 정신적 스트레스치료 를 위한 방안 마련하고 피의자들 정신과 치료 받게 하면 되는걸 왜 차라리 담배 값 낮춰서 흡연자 늘려 그게 더 정직해 보여
5867,2013-03-11,SNS,정부 스토킹 등 경범죄 처벌항목 28건 확대 . 10
5868,2013-03-11,Honey7939,스토킹 처벌 명문화..노출 심해도 범칙금 5만원 . 578
5869,2013-03-11,rmspout,경범죄 무임승차 과다노출 자릿세 암표 거짓광고... 이거 언제 많이 들어본거 같은데 언제였지 정부 스토킹 등 경범죄 처벌 28건 확대 . 14
5870,2013-03-11,Qurious_,근데 문제가 되는 건 1회의 스토킹행위가 밝혀지기로는 그냥 전화해서 괴롭히는 정도였는데 실제로는 주거침입 절도 등이었던 경우에 8만원 내버리면 일사부재리에 걸려서 형사처벌을 면하게 될 수 있음.
5871,2013-03-11,POLlCECOREA,글쎄요 저도 법학자는 아니라... 하지만 공공의 안전과 질서를 위해서 경범죄처벌법에 있지 않을까요 스토킹행위도 처벌을 하는 동기가 있듯이...
5872,2013-03-11,headlinejeju,첫 국무회의에서 의결된 경범죄 처벌법 내용은 스토킹 첫 사법처리 대상 명시...범칙금 8만원 . . . . 174311 에서
5873,2013-03-11,0energyhouse,. 4 3 유신 회귀죠. 이건 시작에 불과할 것 같은 불길한 예감이 듭니다. 그런데 스토킹은 8만원이라니 자살의 원인도 될 수 있는 범죄행위를 경범죄 처벌 한다는 것도 이해가 안되고...
5875,2013-03-11,inspirit0903,스토킹 처벌 결국 8만원으로 결정된거 남에 집앞에서 기다리고 차로 쫒아가고 어딜가든 쫒아가고 기다리는짓이 8만원으로 해결된다고 사생택시 하루값보다 적게 나오겠네.
1284,2013-03-11,212429,잠깐만 경범죄처벌규정이라는 것도 어처구니가 없지만 과다노출은 5만원 암표판매는 16만원인데 스토킹은 8만원이라굽쇼 스토킹이 경범죄입니까 그것도 암표판매보다 못한 여보세요
1281,2013-03-11,BittleS2,가장 큰 문제는 본래 처벌규정이 없었는데 새로 만들었다든가 실은 가중처벌이 된다든가 그런게 아니라구요. 스토킹은 경범죄로 벌금 8만원 이라고 공표를 한게 문제임.
1282,2013-03-11,wisdominsoul,일단 급한대로 처벌하면 예방도 되지 않을까요 애매모호한 스토킹도 당사자는 불쾌감을 느낄 수 있습니다 말로도 성희롱을 하듯 사소한 스토킹도처벌받아야 함
5916,2013-03-11,lifedefrager,과다노출 5만원 스토킹 8만원 암표판매 16만원 . . . 001 0006138252 1 001 첫 국무회의 시행령치고는 좀... 경찰국가라는 단어가 생각이 납니다. 경범죄가 아니라 엄격한 처벌이 필요한 영역도 있어보이고요. 지문채취불응 5만원
5886,2013-03-11,eloqu,스토킹으로 한번처벌 . 벌금8만원 내고나면 끝 신고해바야 벌금받고 끝내는 방식으로 가는건 아닐까 .. 이건 진짜걱정대네 ..
1283,2013-03-11,gomda1226,벌금 기준이 내려갔거나 낮은경우 그만큼 처벌기준이 강화된거라고 봐야할듯요.. 이제 피해자가 두어번을 스토킹이라고 판단하고 신고하면 처벌이 될듯..
5884,2013-03-11,wikitree,표로 정리한 개정된 경범죄 처벌대상과 범칙금 . . 109453 과다노출의 경우 5만원 스토킹의 경우 8만원의 범칙금이 부과됩니다. 위키트리
5883,2013-03-11,crzbro,지속적 괴롭힘 스토킹 행위 광고물 무단부착 등 허위 인적사항 사용 등 시대변화에 따라 규제 필요성이 제기되거나 처벌 범위의 확대가 요구되는 조항을 신설하거나 수정 보완되었습니다.
5882,2013-03-11,cdaily777,기독일보 경범죄 처벌 강화 과다노출 5만원 스토킹 8만원 암표 16만원 앞으로 노출을 과다하게 할 경우 5만원 다른 사람을 스토킹하면 8만원 암표를 팔면 16만원의 범칙금을 내야 한다. ... . 3
5881,2013-03-11,jhmusic2010,개정된 경범죄 처벌 대상과 범칙금 . 14 1 스토킹 빈집침입 공직 계급 학위 명칭 허위 사용 같은 중범죄도 경범죄라... 수꼴 니들이 잘 저지르는 범죄는 경범죄로 만든거 같구나..
5880,2013-03-11,tmkor1,신설된 경범죄 처벌법 내용 주요내용을 살펴보면 ... 첫째 지속적 괴롭힘 스토킹 에 대해 8 만원의 범칙금 조항이 신설되었습니다 . 이를 놓고 요즘 많은 논란이 있는데 빠.. . . 2002 68
5879,2013-03-11,tmkor1,신설된 경범죄 처벌법 항목 주요내용을 살펴보면 ... 첫째 지속적 괴롭힘 스토킹 에 대해 8 만원의 범칙금 조항이 신설되었습니다 . 이를 놓고 요즘 많은 논란이 있는데 .. . . 15420176
5878,2013-03-11,_qwer__,과다노출보다 스토킹이 암표판매보다도 처벌이 약하다는게 문제아닌가. 장발과 미니스커트 단속에 대한 사회적 트라우마 때문에 더 민감하게 생각이 드는건가.
5877,2013-03-11,rooom335,스토킹은 경범죄이지만 횟수에 따라 누진제가 되어야 한다고 생각함. 그리고 사주인이 처벌을 받아야 함.
5876,2013-03-11,cosmosjazz,과다노출 잡기 전에 성범죄 처벌부터 개정 좀 하지 네이버 뉴스 과다노출 5만원 스토킹 8만원 암표판매 16만원 2. 2
5903,2013-03-11,cat_no2,스토킹 경범죄 처벌 괜찮을까 . . . . 69 15 142 142 81 또 다른 문제점은 판결이 내려진 사건을 두 번 이상 재판하지 않는다는 일사부재리 원칙 이 면죄부로 오용될 소지가 크다는 점이다.
