,작성일,작성자,제목,내용
91,2020-04-01,UCkinYTS9IHqOEwR1Sze2JTw,2번 처벌 받고도 또 살해 협박…스토킹 처벌법 '감감' / SBS,이런 스토킹은 사소한 다툼으로 끝나는 게 아니라 실제 심각한 범죄로도 이어지는 경우가 있습니다. 그래서 이걸 처벌하기 위한 관련 법안까지 발의돼 있는데 국회 문턱을 여전히 넘지 못하고 있습니다. 계속해서 전연남 기자입니다. 원문 기사 더보기 . . . 1005727943 뉴스 에스비에스뉴스 8뉴스 뉴스 채널 구독하기 . . . 뉴스 라이브 . . . . . . 뉴스 제보하기 홈페이지 . . . 애플리케이션 뉴스 앱 설치하고 제보 . . . 카카오톡 뉴스 와 친구 맺고 채팅 . . 페이스북 뉴스 메시지 전송 . . 8 이메일 8 . . 문자 6000 전화 02 2113 6000 홈페이지 . . . 페이스북 . . 8 트위터 . . 8 카카오톡 . . 인스타그램 . .
90,2020-04-10,UCYZv9v_bwfMGc64gLRe34OA,"솔비, 스토킹 처벌법 법안 통과한 썰☆ (feat. 눈물 나는 삭발)ㅣ정치를 한다면(Politician)ㅣSBS Story",정치를 한다면에 출연한 솔비는 타 프로그램에서 스토킨 처벌법 법안을 발의했고 그것이 통과했다고 말한다. 금요일 교양 정치를 한다면 오후 11시 10분 본방송 정치를한다면 솔비스토킹법안통과 정치와삭발 . . . . 2 8
89,2020-04-13,UCDmngSv6O5UzEgPpUrvcnjw,"[박광온TV | 3분 뉴스] 박광온, 스토킹범죄 처벌 강화 등 ‘여성 안전망’ 공약 발표",스마트 여성 안심 통합 네트워크 구축 범죄예방 환경조성 가정폭력 피해자의 안전 인권보호와 가해자 처벌규정 법제화 추진 스토킹 데이트범죄 처벌 강화
88,2020-04-27,UCWlV3Lz_55UaX4JsMj-z__Q,"가해자 웃으며 ""5만이면 돼?""…스토킹 처벌 사실상 무력 [포커스]",구속되기 전 이 스토킹범은 경찰 신고를 당하고도 되려 5만원이면 돼 라고 물으며 코웃음쳤다고 합니다. 고작 벌금 5만원 처벌 정도는 전혀 무섭지 않았다는 얘기죠. .19 사실을 보고 진실을 말합니다. 공식 홈페이지 . . 공식 페이스북 . . 공식 트위터 . 뉴스제보 이메일 . 카카오톡 조선제보 전화 1661 0190
86,2020-05-15,UCkinYTS9IHqOEwR1Sze2JTw,스토킹 처벌법 통과되면? '범칙금 5만 원→체포·실형' / SBS,앞으로 국회 입법 과정에서 수정될 수 있겠지만 지금 내용대로 스토킹 처벌법이 만들어질 경우 가해자 처벌과 피해자 보호가 어떻게 달라지는 것인지 이어서 윤나라 기자가 알아봤습니다. 원문 기사 더보기 . . . 1005790930 뉴스 에스비에스뉴스 8뉴스 뉴스 채널 구독하기 . . . 뉴스 라이브 . . . . . . 뉴스 제보하기 홈페이지 . . . 애플리케이션 뉴스 앱 설치하고 제보 . . . 카카오톡 뉴스 와 친구 맺고 채팅 . . 페이스북 뉴스 메시지 전송 . . 8 이메일 8 . . 문자 6000 전화 02 2113 6000 홈페이지 . . . 페이스북 . . 8 트위터 . . 8 카카오톡 . . 인스타그램 . .
85,2020-05-15,UCkinYTS9IHqOEwR1Sze2JTw,"[단독] '스토킹 처벌법', 이르면 다음 달 국회 제출 / SBS",스토킹을 사소한 문제로 볼 수 없다는 점 여러 차례 전해드렸는데요 관련 처벌을 강화하는 법안이 이르면 다음 달 국회에 제출됩니다. 경범죄로 취급되던 스토킹 범죄 처벌을 3년 이하 징역형으로 강화하는 내용입니다. 권지윤 기자가 단독 취재했습니다. 원문 기사 더보기 . . . 1005790929 단독보도 기사 더보기 . . . 10000000034 뉴스 에스비에스뉴스 단독보도 8뉴스 뉴스 채널 구독하기 . . . 뉴스 라이브 . . . . . . 뉴스 제보하기 홈페이지 . . . 애플리케이션 뉴스 앱 설치하고 제보 . . . 카카오톡 뉴스 와 친구 맺고 채팅 . . 페이스북 뉴스 메시지 전송 . . 8 이메일 8 . . 문자 6000 전화 02 2113 6000 홈페이지 . . . 페이스북 . . 8 트위터 . . 8 카카오톡 . . 인스타그램 . .
87,2020-05-15,UCkinYTS9IHqOEwR1Sze2JTw,"징역형 담긴 '스토킹 처벌법', 이르면 6월 국회 제출 / SBS",스토킹 범죄 피해는 끊이지 않고 있지만 관련 법이 없어서 대부분 솜방망이 처벌에 그쳤는데요. 이르면 다음 달 스토킹 범죄 처벌을 대폭 강화하는 법안이 국회에 제출됩니다. 권지윤 기자가 보도합니다. 원문 기사 더보기 . . . 1005791152 뉴스 에스비에스뉴스 모닝와이드 뉴스 채널 구독하기 . . . 뉴스 라이브 . . . . . . 뉴스 제보하기 홈페이지 . . . 애플리케이션 뉴스 앱 설치하고 제보 . . . 카카오톡 뉴스 와 친구 맺고 채팅 . . 페이스북 뉴스 메시지 전송 . . 8 이메일 8 . . 문자 6000 전화 02 2113 6000 홈페이지 . . . 페이스북 . . 8 트위터 . . 8 카카오톡 . . 인스타그램 . .
84,2020-05-20,UCGsLaVFoPgTuJUDYW1ygcAg,[사건.이슈] 듣던중 반가운 일 - 강화된 스토킹 처벌법 / 시신금니 절도사건의 범인은?,광고의뢰 사건의뢰 112 . 유튜브채널구독 . 54 김복준 김윤희의 환상콤비 범죄없는 그날까지 달린다. 출연자 프로필 김복준 교수 전 형사 건국대 법학박사 전 국립중앙경찰학교 수사학과 교수 전 동두천경찰서 수사과장 현 한국범죄학연구소 선임연구위원 김윤희 프로파일러 경기대 범죄심리 석사 전 서울지방경찰청 범죄심리분석관 현 범죄심리 콘텐츠 자문 후원계좌 국민은행 816901 04 264127 예금주 박동민 사건의뢰
83,2020-05-30,UCfq4V1DAuaojnr2ryvWNysw,[화나요 뉴스]죽음 부르는 스토킹…처벌은 ‘솜방망이’ | 뉴스A 라이브,사랑의 신 큐피드의 화살을 맞은 태양의 신 아폴론은 요정 다프네에게 빠져 일방적인 구애 를 시작합니다. 아폴론의 집착을 거부하던 다프네는 더 이상 도망칠 곳이 없자 결국 삶을 포기하고 월계수가 돼버립니다. 하지만 나무로 변한들 아폴론의 집착은 끝나지 않습니다. 월계수 잎으로 관을 만들어 항상 머리에 쓰고 다녔습니다. 황금투구를 버리고 월계관 을 택한 아폴론의 행동은 과연 사랑이었을까요 당사자인 다프네에겐 공포 에 지나지 않았을 겁니다. 사랑이라는 이름으로 상대방의 정신까지 파괴하는 스토킹 은 신화 속에만 있는 건 아니었습니다. 지난 4일 경남 창원의 한 식당 여주인과 단골손님 사이에 실랑이가 벌어졌습니다. 경찰이 출동하면서 상황이 마무리되나 싶었는데 다음날 단골손님인 이 남성이 여주인을 살해했습니다. 우발적 살인으로 보였지만 충격적인 진술이 나오면서 반전을 맞이했습니다. 피해자 지인 매일. 언니가 가라고 하면 발끈해서 욕하고 이튿날 또 오고 언니가 너무 힘들어하고 고통스러워했습니다. 완전히 미칠 정도로. 10년 단골이었던 이 남성의 정체는 스토커 였습니다. 수개월간 밤낮으로 걸려온 그의 전화 100통. 집착이 무서웠던 여주인은 경찰에 고통을 호소했지만 해답은 없었습니다. 경찰관 얼마 전에 마음을 표현하는 문자를 보냈더라. 그렇게 이야기를 들었다고. 사건이 되냐. 스토킹은 위험한 범죄다라고 말하지만 정작 아직 피해가 없다는 이유로 법적 근거가 없다는 이유로 아무 조치 없이 손을 놓고 있는 경우가 대부분입니다. 죽음까지 부르는 스토킹은 단순히 8만원짜리 경범죄가 아니라 강력 범죄의 전조증상 입니다. 열 번 찍어 안 넘어가는 나무 없다. 상대방의 마음을 얻기 위해선 앞 뒤 가리지 않고 달려들어야 한다는 뜻으로 사용되는데요. 단호한 거절의사에도 열 번이나 상대방을 찍는 건 반대로 다프네를 향한 끝없는 난도질 사랑을 빙자한 스토킹이 될 수도 있습니다. 지금까지 화나요 뉴스였습니다. 라이브 뉴스 뉴스 공식 홈페이지 . . 공식 페이스북 . . 공식 유튜브 . .
82,2020-07-10,UChRnJ6XdAANkCOJfmWSASgQ,"[LAW 투데이-7월 10일] '스토킹 처벌' 집중보도... 바둑여제 조혜연의 고백 ""스토킹, 죽어야 끝나나""... 창원 스토킹 살해사건 공소장서 빠진 '스토킹'... 스토킹처벌법",법률방송뉴스 바둑여제 라고 불릴 정도로 명석한 머리와 강철의 심장을 가진 사람이 있습니다. 바로 조혜연 프로바둑기사인데요. 이 강철 바둑여제를 숨도 제대로 못 쉴 정도의 공포로 몰아넣은 지금도 현재 진행형인 공포가 있습니다. 바로 스토킹 입니다. 유명 인사니까 그쯤은 감내해야 하는 것 아니냐 고 가볍게 치부할 수도 있지만 정말 내가 살아 있을 수 있을까 싶은 극한의 공포를 느끼고 있다는 게 조혜연 9단의 말입니다. 오늘 10일 투데이 는 스토킹처벌법 얘기해 보겠습니다. 먼저 조혜연 9단이 육성으로 전하는 스토킹 공포를 들어 보겠습니다. 스토킹이 심리적으로 그리고 현실적으로 극한의 공포로 다가오는 건 이게 단순히 따라다님 정도에서 끝나지 않는다는데 있습니다. 살인이나 강간 같은 강력 범죄로 이어지는 경우가 다반사인데요. 계속해서 스토킹을 왜 독자적인 범죄로 처벌해야 하는지 스토킹 처벌법 제정이 왜 필요한지 전해드리겠습니다. 먼저 창원 스토킹 살해사건 사례부터 보시겠습니다. 이어서 스토킹 처벌법 실질화와 관련한 대안에는 어떤 것들이 있을지 한번 얘기해보겠습니다. 이호영 변호사의 뉴스와 법 입니다. 법률방송 구독하기 . 4 법률방송뉴스 홈페이지 . 법률방송 홈페이지 . 법률방송뉴스 네이버 뉴스스탠드 . . 815 법률방송 페이스북 . . 법률방송 인스타그램 . . 법률방송 트위터 .
81,2020-07-10,UChRnJ6XdAANkCOJfmWSASgQ,"열 번 찍어 안 넘어가는 나무 없다고?... 죽을 만큼 공포, 스토킹 처벌 어떻게 돼 있나 / 법률방송뉴스",. . . 29001 신새아 앵커 이어서 스토킹 처벌법 실질화와 관련한 대안에는 어떤 것들이 있을지 한번 얘기해보겠습니다. 이호영 변호사의 뉴스와 법 입니다. 앞서 조혜연 프로바둑기사 사례나 다른 것들을 전해드리긴 했는데 그간의 스토킹 범죄에 대한 처벌이 이게 아예 없었던 건가요. 이호영 변호사 처벌이 전혀 없었던 것은 아닙니다. 스토킹 범죄가 실제로 우리 법에도 규정은 돼 있어요. 그런데 그게 경범죄처벌법에 규정이 돼 있고 실제로 이 경범죄처벌법에 의해서 처벌을 받는 경우에도 처벌이 고작 10만원 이하의 벌금 또는 구류나 과료에 처하는 정도의 대단히 약한 처벌이어서 사실은 피해자들 입장에서는 별 실익이 없는 그런 상황이고요. 그래서 그러다 보니까 일선 수사기관에서도 스토킹 범죄 그 자체의 형량이 너무 약해서 어떤 식으로 많이 하냐 하면 스토킹 과정에서 여러 가지 지금 지속적으로 괴롭히는 과정에서 가해자가 저지른 별도의 혐의들 예컨대 주거침입 이라든지 아니면 협박 이라든지 그런 별도의 다른 혐의를 추가해서 형량을 높이려고 시도를 하고 있는 그런 실정입니다. 법률방송 구독하기 . 4 법률방송뉴스 홈페이지 . 법률방송 홈페이지 . 법률방송뉴스 네이버 뉴스스탠드 . . 815 법률방송 페이스북 . . 법률방송 인스타그램 . . 법률방송 트위터 .
80,2020-07-10,UChRnJ6XdAANkCOJfmWSASgQ,창원 스토킹 살해사건 공소장에서 빠진 ‘스토킹’... ‘스토킹 처벌법’ 20년 넘게 발의만 / 법률방송뉴스,. . . 29003 법률방송뉴스 스토킹이 심리적으로 그리고 현실적으로 극한의 공포로 다가오는 건 이게 단순히 따라다님 정도에서 끝나지 않는다는데 있습니다. 살인이나 강간 같은 강력 범죄로 이어지는 경우가 다반사인데요. 계속해서 스토킹을 왜 독자적인 범죄로 처벌해야 하는지 스토킹 처벌법 제정이 왜 필요한지 전해드리겠습니다. 먼저 창원 스토킹 살해사건 사례부터 보시겠습니다. 법률방송 구독하기 . 4 법률방송뉴스 홈페이지 . 법률방송 홈페이지 . 법률방송뉴스 네이버 뉴스스탠드 . . 815 법률방송 페이스북 . . 법률방송 인스타그램 . . 법률방송 트위터 .
79,2020-07-14,UCfWZnsdfiKvOyHDGfzMT3Cg,[생방송 오늘 아침] 스토킹 처벌 수위 이대로 괜찮은가? 20200715,. . 4 . . . 1000835100000100000 1
78,2020-07-20,UCQSWmQeQpH_cYzq6wKGMFfA,[입법예고] 스토킹범죄의 처벌 및 절차 등에 관한 법률안 / 현행법엔 스토킹 처벌 관련 법안이 없다! *101회 하이라이트*,입법예고 스토킹범죄처벌 이번 주 입법 예고 미래통합당 김영식 의원이 발의한 스토킹범죄의 처벌 및 절차 등에 관한 법률안 입니다. 끔찍한 범죄로 이어질 수 있는 스토킹. 하지만 현행법상 스토킹은 경범죄 처벌법으로 다뤄집니다. 중범죄로서 처벌할 수 있도록 하는 법안이 발의됐는데요. 전문가의 의견을 들어봤습니다.
76,2020-11-15,UCcQTRi69dsVYHN3exePtZ1A,21년 좌절된 ‘스토킹 처벌법’…“이번엔 다르다” / KBS뉴스(News),프로 바둑 선수 조혜연 씨는 40대 남성에게 1년 동안 스토킹을 당했습니다. 이 남성 징역 2년을 선고받았는데 스토킹이 아닌 재물 손괴 등의 죗값이었습니다. 스토킹 혐의로 받은 처벌은 범칙금 5만 원이 전부였는데요. 이렇게 낮은 처벌 수위가 스토킹 범죄를 조장한다는 비판 속에 이번 국회에서 스토킹 처벌법이 또 발의됐습니다. 기사 더보기 . 2 제보 하기 카카오톡 뉴스 검색 전화 02 781 1234 홈페이지 . 4 이메일 1234 . . 뉴스 유튜브 구독하기 . 스토킹 국회 스토킹처벌법
75,2020-11-16,UCMLJc_D3jgFcS_48G7i4V0A,[김경래의 최강시사] 21년 좌절 ‘스토킹 처벌법’ 이번엔 국회 문턱 넘을까 -박지훈 변호사 + 김완 기자(한겨레) (201117),추적 20분 박지훈 변호사 김완 기자 한겨레 21년 좌절 스토킹 처벌법 이번엔 국회 문턱 넘을까 김경래의최강시사 김경래 1라디오 라디오 콩 뉴스타파
74,2020-11-23,UCot3IlVrwKto4F3ie-uG9Ng,스토킹으로 어떤 처벌이 가능한가요?,스토킹의 다양한 형태에 따라 어떤 처벌이 가능한 지 살펴보겠습니다. 상담문의 유료 02 6701 0367 월요일부터 금요일 오전9시부터 오후6시
73,2020-11-30,UChRnJ6XdAANkCOJfmWSASgQ,"[LAW 투데이-11월 30일] 스토킹 최대 징역 5년 처벌법 입법예고... ""네가 좋아서?... 반의사불벌죄 안돼"" 이수연 변호사 인터뷰...사자명예훼손 혐의 전두환 실형 면해",법률방송뉴스 열 번 찍어 안 넘어가는 나무 없다 는 말이 있었는데 예전에는 어땠는지 몰라도 지금은 큰일 날 얘기입니다. 피해자는 내가 죽어야 이 스토킹이 끝날까 라고 할 정도로 죽을 만큼의 공포라고 하는데 정작 처벌규정은 없는 스토킹 범죄. 법무부가 스토킹처벌법 제정안 을 입법예고 했다고 하는데 오늘은 스토킹처벌법에 관한 이야기 해보겠습니다. 15대 국회부터 꾸준히 시도됐던 스토킹처벌법 입법. 그동안 국회 문턱을 넘지 못했는데요 한국여성변호사회 이수연 공보이사 모시고 관련 내용 더 자세히 들어보겠습니다. 5 18 기간 군이 헬기사격한 것을 목격했다고 증언한 고 조비오 신부를 신부라는 말이 무색한 파렴치한 거짓말쟁이 라고 비난한 행위 등에 대해 사자명예훼손 혐의로 기소된 전두환 전 대통령에게 1심에서 징역 8개월에 집행유예 2년이 선고됐습니다. 남승한 변호사의 시사 법률 입니다. . . . ... 법률방송은 전국 어디서나 213번 280번 250번에서 만날 수 있습니다 법률방송 구독하기 . 4 법률방송뉴스 홈페이지 . 법률방송 홈페이지 . 법률방송 페이스북 . . 법률방송 인스타그램 . . 법률방송 트위터 .
72,2020-12-01,UCpVw9Y6pqUiCY0Sgc8Ae9mA,[여의도 사사건건] 스토킹 범죄...더 심해지는데 처벌은 5만원 끝?!_201201(화),스토킹처벌법 스토킹방지법 스토킹처벌 프로그램명 사사건건 코너명 여의도 사사건건 방송시간 12월 1일 화 16 00 17 00 1 진행 박찬형 기자 출연 정춘숙 더불어민주당 의원 이수정 국민의힘 성폭력대책특위 위원 경기대 교수 정춘숙 국회 사법기관 아직도 스토킹 범죄 가볍게 봐 이수정 구애 행위 라는 생각 스토킹 처벌법 입법 장애물 정춘숙 스토킹 경범죄 처벌법 에 의해 범칙금에 그쳐 이수정 선진국 대부분 스토킹 방지법 합리적 공포 처벌 이수정 살인 판결문 분석 결과 10건 중 1건은 스토킹 정춘숙 스토킹 신고 느는데 처벌 지지부진 가해 계속될 여지 이수정 경범죄 처벌법 스토킹 피해자 보호할 임시 조치 없어 이수정 가해자 내 돈 범칙금 내고 내가 괴롭히는데 뻔뻔한 태도 정춘숙 법안에 스토킹 처벌 강화 피해자 보호 같이 담아 이수정 여 야 발의 스토킹 처벌법 중요 조항 공통 분모 있어 정춘숙 정부 안 한계 피해 범위 넓히고 가중 처벌 조항 넣어야 정춘숙 스토킹 처벌법 여야 모두 중요하게 생각 제정 힘쓰자
71,2020-12-20,UCCvbkHP-gCFszpRZcsC7IOg,"[양담소] 소름끼치는 스토킹 가해자, 어떤 처벌을 받나요?",오늘 전해드릴 이야기는 바로 스토킹범죄와 처벌법 입니다. 형사전문 변호사 김영미 변호사님께서 함께해주셨습니다. 양담소에 놀러오세요 가족은 물론 친구에게도 말 못한 고민들 참 많으시죠 혼자 가슴 속에 쌓아두신 이야기들이 법적인 문제라면 더욱 힘드실 텐데요. 이럴때마다 변호사가 내 지인이라면 얼마나 좋을까 하는 생각... 누구나 한번쯤 하게 됩니다. 8월부터 이런 고민들 제가 다 들어드릴게요 매일 라디오 양소영의 상담소 양담소에서 제가 직접 사연을 소개해드리고 법률 자문까지 도와드립니다. 연중무휴 언제어디서나 누구에게나 열려있는 다정하고 정직한 법률상담소 솔직담백 감성충만한 공간. 여기는 양소영 변호사의 상담소 양담소 입니다. . . . ... 가사전문변호사들이 모인 법무법인 숭인의 멘토링 상속을 잘 해야 집안이 산다 . . . 2 ... 양소영 양소영 변호사와 숭인의 이야기가 업로드 됩니다. 구독과 좋아요 알람설정 부탁드립니다. 고민이나 궁금한 사항은 메일로 문의해주세요. . . 양소영 양소영 변호사와 숭인의 이야기가 업로드 됩니다. 구독과 좋아요 알림설정까지 부탁드립니다. 고민이나 궁금한 사항은 메일로 문의해주세요 . . 법무법인 숭인 상담문의 02 537 5361 홈페이지 . . . 블로그 . . 5391 페이스북 . . . 인스타그램 . . .
